# Time 0.00022
# eta = 0.002
# length = 0.00084928
#--- 	  	 LEM Line data  --- 
#(1) wafer              (2) x             (3) dx              (4) m              (5) p            (6) rho              (7) m              (8) T              (9) Z             (10) C          (11) dCdt       (12) heatRel                  (13) Y_H2                  (14) Y_H                  (15) Y_O                  (16) Y_O2                  (17) Y_OH                  (18) Y_H2O                  (19) Y_HO2                  (20) Y_CH2                  (21) Y_CH2(S)                  (22) Y_CH3                  (23) Y_CH4                  (24) Y_CO                  (25) Y_CO2                  (26) Y_HCO                  (27) Y_CH2O                  (28) Y_CH2OH                  (29) Y_N2
0        1.25581e-05        2.51163e-05        2.84226e-05             101325            1.13164        2.84226e-05            300.002                  0                  0                  0                  0         4.6516e-11        8.83797e-20         1.2101e-12           0.222598        1.52223e-12        1.08046e-07        1.74426e-10        7.82802e-20        4.04992e-21        8.61452e-10           0.044642        1.37288e-09        1.29549e-07        4.96957e-20        2.18379e-10        8.75502e-24            0.73276
1        3.76744e-05        2.51163e-05        2.84224e-05             101325            1.13163        2.84224e-05            300.005                  0        1.11397e-06        1.16763e-07          0.0870343        1.04554e-10        3.58331e-19        2.14633e-12           0.222598        2.82787e-12        2.36448e-07        3.72821e-10        3.33615e-19        1.72803e-20        1.89631e-09           0.044642        3.07267e-09        2.83409e-07        2.12325e-19        4.92083e-10        3.73594e-23            0.73276
2        6.27907e-05        2.51163e-05        2.84216e-05             101325             1.1316        2.84216e-05            300.013                  0        2.39616e-06        2.12644e-07           0.159789        2.72767e-10        1.80112e-18        4.22725e-12           0.222597         5.9081e-12        5.98751e-07        9.18769e-10        1.76835e-18        9.14554e-20        4.83351e-09          0.0446418        7.98083e-09        7.17387e-07        1.12886e-18        1.28647e-09        1.97835e-22            0.73276
3        8.79069e-05        2.51163e-05        2.84198e-05             101325            1.13153        2.84198e-05            300.033                  0        6.08212e-06        4.45731e-07           0.341409        7.14929e-10        8.76565e-18        8.23129e-12           0.222595        1.22928e-11        1.52201e-06        2.26947e-09        9.12293e-18        4.72078e-19        1.23687e-08          0.0446414        2.08328e-08        1.82281e-06        5.84002e-18        3.37629e-09        1.02185e-21            0.73276
4        0.000113023        2.51163e-05        2.84152e-05             101325            1.13135        2.84152e-05            300.081                  0        1.54573e-05        9.28917e-07           0.743121        1.82615e-09        3.92404e-17        1.51194e-11           0.222591        2.44326e-11        3.76143e-06        5.43496e-09        4.37006e-17        2.25827e-18        3.07839e-08          0.0446404        5.30094e-08        4.50267e-06         2.8076e-17        8.62882e-09        4.89658e-21            0.73276
5        0.000138139        2.51163e-05        2.84046e-05             101325            1.13093        2.84046e-05            300.192                  0        3.81752e-05        1.85248e-06             1.6326        4.52204e-09        1.57314e-16        2.56699e-11           0.222582        4.56818e-11        8.98239e-06        1.25328e-08        1.90181e-16         9.8425e-18         7.4071e-08           0.044638        1.30801e-07        1.07466e-05        1.22662e-16        2.13603e-08        2.14062e-20            0.73276
6        0.000163256        2.51163e-05         2.8381e-05             101325            1.12999         2.8381e-05            300.442                  0        9.10914e-05         3.4932e-06            3.75861        1.08385e-08        5.58737e-16        3.95819e-11           0.222562        7.95903e-11        2.06802e-05        2.77525e-08        7.46639e-16        3.86543e-17        1.71927e-07          0.0446327        3.12534e-07        2.47262e-05        4.84241e-16        5.11265e-08        8.46239e-20            0.73276
7        0.000188372        2.51163e-05        2.83306e-05             101325            1.12798        2.83306e-05            300.977                  0        0.000209539        6.20816e-06            9.56323         2.5116e-08        1.72024e-15        5.42285e-11           0.222517        1.27901e-10        4.58183e-05        5.88847e-08        2.60504e-15        1.35176e-16        3.84264e-07          0.0446212        7.22469e-07        5.47409e-05        1.70269e-15         1.1816e-07        2.99689e-19            0.73276
8        0.000213488        2.51163e-05        2.82277e-05             101325            1.12388        2.82277e-05            302.074                  0        0.000463819        1.04084e-05            27.4501        5.62009e-08        4.49483e-15        6.41078e-11           0.222426        1.87464e-10        9.74867e-05        1.19438e-07        7.96796e-15        4.15563e-16        8.25341e-07          0.0445977        1.61422e-06        0.000116365         5.2695e-15        2.63279e-07        9.43922e-19            0.73276
9        0.000238604        2.51163e-05         2.8029e-05             101325            1.11597         2.8029e-05            304.215                  0        0.000985906        1.65689e-05            85.9199         1.2125e-07        9.76845e-15        6.29748e-11           0.222247        2.48132e-10        0.000198694        2.31026e-07        2.10976e-14        1.11062e-15        1.69943e-06          0.0445516        3.48193e-06        0.000236909        1.42171e-14        5.64491e-07        2.63974e-18            0.73276
