# Time 6e-05
# eta = 0.002
# length = 0.000964267
#--- 	  	 LEM Line data  --- 
#(1) wafer              (2) x             (3) dx              (4) m              (5) p            (6) rho              (7) m              (8) T              (9) Z             (10) C          (11) dCdt       (12) heatRel                  (13) Y_H2                  (14) Y_H                  (15) Y_O                  (16) Y_O2                  (17) Y_OH                  (18) Y_H2O                  (19) Y_HO2                  (20) Y_CH2                  (21) Y_CH2(S)                  (22) Y_CH3                  (23) Y_CH4                  (24) Y_CO                  (25) Y_CO2                  (26) Y_HCO                  (27) Y_CH2O                  (28) Y_CH2OH                  (29) Y_N2
0        1.25563e-05        2.51126e-05        2.84187e-05             101325            1.13165        2.84187e-05                300                  0                  0                  0                  0        7.17061e-17        2.38771e-26        5.64896e-17           0.222598        4.46151e-16        2.63327e-13        4.44426e-16         7.6632e-26        2.03859e-27        1.69404e-15          0.0446421        2.22492e-15         3.1783e-13        5.23049e-26        2.47775e-16        5.62425e-30            0.73276
1        3.76689e-05        2.51126e-05        2.84187e-05             101325            1.13165        2.84187e-05                300                  0        2.66349e-12        3.34455e-11        2.44998e-05        3.72293e-16        2.36322e-25        2.68082e-16           0.222598         2.1466e-15        1.34876e-12        2.32223e-15        7.80916e-25        2.48072e-26        8.74393e-15          0.0446421        1.15825e-14        1.62752e-12        5.23694e-25        1.32066e-15        6.42455e-29            0.73276
2        6.27815e-05        2.51126e-05        2.84187e-05             101325            1.13165        2.84187e-05                300                  0        1.36041e-11        1.60462e-10        0.000117544        2.16279e-15        2.53526e-24        1.42239e-15           0.222598         1.1542e-14        7.73139e-12        1.35508e-14        8.62588e-24         3.2424e-25        5.05032e-14          0.0446421        6.74377e-14        9.32703e-12        5.67184e-24        7.85802e-15        7.93556e-28            0.73276
3        8.78942e-05        2.51126e-05        2.84187e-05             101325            1.13165        2.84187e-05                300                  0        7.79939e-11        8.63048e-10        0.000632223        1.22735e-14        2.70134e-23        7.30447e-15           0.222598        6.00786e-14        4.32482e-11         7.7115e-14        9.49483e-23        4.23676e-24        2.84836e-13          0.0446421        3.83451e-13        5.21605e-11        6.09632e-23        4.56641e-14        9.82768e-27            0.73276
4        0.000113007        2.51126e-05        2.84187e-05             101325            1.13165        2.84187e-05                300                  0        4.36197e-10        4.49196e-09         0.00329065        6.75986e-14        2.98636e-22        3.59693e-14           0.222598        3.01563e-13        2.34494e-10        4.25111e-13        1.08113e-21        5.52699e-23        1.55695e-12          0.0446421        2.11543e-12         2.8274e-10         6.7892e-22        2.57549e-13        1.23263e-25            0.73276
5        0.000138119        2.51126e-05        2.84187e-05             101325            1.13165        2.84187e-05                300                  0        2.36455e-09        2.25451e-08          0.0165167        3.60467e-13        3.68476e-21        1.69018e-13           0.222598        1.45487e-12        1.22917e-09         2.2636e-12        1.35195e-20        7.18305e-22        8.22725e-12          0.0446421        1.12946e-11        1.48164e-09        8.43134e-21         1.4063e-12        1.58683e-24            0.73276
6        0.000163232        2.51126e-05        2.84187e-05             101325            1.13165        2.84187e-05                300                  0        1.23915e-08        1.08755e-07          0.0796857        1.85618e-12        4.71417e-20        7.53556e-13           0.222598        6.69792e-12        6.21134e-09        1.16052e-11         1.7405e-19        9.24512e-21        4.19349e-11          0.0446421        5.82027e-11         7.4849e-09        1.08608e-19        7.41394e-12        2.04344e-23            0.73276
7        0.000188345        2.51126e-05        2.84187e-05             101325            1.13165        2.84187e-05            300.001                  0        6.26011e-08        5.00627e-07           0.366955        9.20287e-12        5.93852e-19        3.16531e-12           0.222598        2.92332e-11        3.01624e-08        5.70775e-11        2.20752e-18        1.16827e-19        2.05578e-10           0.044642        2.88588e-10         3.6335e-08        1.38009e-18        3.76223e-11        2.58483e-22            0.73276
8        0.000213457        2.51126e-05        2.84184e-05             101325            1.13164        2.84184e-05            300.003                  0        3.03904e-07        2.18476e-06            1.60324        4.37848e-11        7.31979e-18        1.24146e-11           0.222598        1.20062e-10        1.40238e-07        2.68154e-10        2.75983e-17        1.43225e-18        9.65982e-10           0.044642        1.37197e-09        1.68877e-07        1.73178e-17        1.83126e-10        3.21165e-21            0.73276
9         0.00023857        2.51126e-05        2.84174e-05             101325             1.1316        2.84174e-05            300.014                  0        1.41253e-06        8.97322e-06            6.60797        1.99141e-10        8.35579e-17        4.49276e-11           0.222597        4.59403e-10         6.2167e-07        1.19734e-09        3.21648e-16        1.67228e-17        4.33369e-09          0.0446418        6.22861e-09        7.48338e-07        2.02231e-16        8.51585e-10        3.76626e-20            0.73276
