# Time 0.000425
# eta = 0.002
# length = 0.000606895
#--- 	  	 LEM Line data  --- 
#(1) wafer              (2) x             (3) dx              (4) m              (5) p            (6) rho              (7) m              (8) T              (9) Z             (10) C          (11) dCdt       (12) heatRel                  (13) Y_H2                  (14) Y_H                  (15) Y_O                  (16) Y_O2                  (17) Y_OH                  (18) Y_H2O                  (19) Y_HO2                  (20) Y_CH2                  (21) Y_CH2(S)                  (22) Y_CH3                  (23) Y_CH4                  (24) Y_CO                  (25) Y_CO2                  (26) Y_HCO                  (27) Y_CH2O                  (28) Y_CH2OH                  (29) Y_N2
0        1.25589e-05        2.51178e-05         2.8411e-05             101325            1.13111         2.8411e-05            300.144                  0                  0                  0              18422        4.79563e-09        1.72149e-17        4.26949e-12           0.222586        8.30686e-13         6.7837e-06        7.50412e-09         2.6053e-18        1.34683e-19        5.88991e-08           0.044639        1.40918e-07        8.05864e-06        1.75396e-18        2.13477e-08         2.9218e-22            0.73276
1        3.76766e-05        2.51178e-05         2.8403e-05             101325            1.13079         2.8403e-05            300.228                  0        7.02547e-05         6.5158e-08           0.440537         7.9475e-09        3.34804e-17        5.38358e-12           0.222579        1.21716e-12        1.07686e-05        1.16162e-08        5.97358e-18        3.09045e-19        9.40418e-08          0.0446372        2.34775e-07        1.27775e-05        4.03526e-18        3.50015e-08        6.71875e-22            0.73276
2        6.27944e-05        2.51178e-05        2.83876e-05             101325            1.13018        2.83876e-05             300.39                  0        0.000108159        9.30717e-08           0.897818        1.45106e-08        6.91069e-17        6.37609e-12           0.222565        1.87886e-12        1.85076e-05        1.92747e-08          1.617e-17         8.3727e-19        1.62947e-07          0.0446336        4.32064e-07        2.19215e-05        1.09778e-17        6.29253e-08        1.82785e-21            0.73276
3        8.79122e-05        2.51178e-05        2.83592e-05             101325            1.12905        2.83592e-05            300.691                  0        0.000186301        1.46155e-07            2.28161        2.74655e-08        1.40366e-16        7.18478e-12            0.22254         3.0182e-12        3.28138e-05        3.29513e-08        4.65198e-17        2.41303e-18        2.91413e-07          0.0446271        8.25572e-07        3.87859e-05        3.17847e-17        1.17029e-07        5.30569e-21            0.73276
4         0.00011303        2.51178e-05        2.83097e-05             101325            1.12708        2.83097e-05            301.216                  0        0.000330201        2.41282e-07            6.34213        5.19546e-08        2.66818e-16        7.52785e-12           0.222496        4.92894e-12        5.79113e-05        5.60983e-08        1.34818e-16        7.01124e-18        5.18922e-07          0.0446156        1.57906e-06        6.82857e-05        9.29204e-17        2.17053e-07        1.56017e-20            0.73276
5        0.000138148        2.51178e-05        2.82266e-05             101325            1.12377        2.82266e-05            302.103                  0        0.000581948        4.12129e-07            17.9968        9.70561e-08        4.64174e-16        7.15902e-12           0.222421        8.11283e-12        0.000100391        9.38552e-08        3.85985e-16        2.01533e-17        9.08071e-07          0.0445961        2.98828e-06        0.000118036        2.69295e-16        3.96522e-07        4.57312e-20            0.73276
6        0.000163265        2.51178e-05        2.80916e-05             101325             1.1184        2.80916e-05            303.554                  0         0.00100689        7.28584e-07            50.3872        1.78376e-07        7.42142e-16        6.02871e-12           0.222298        1.34453e-11        0.000170102        1.53586e-07        1.08515e-15        5.70384e-17         1.5541e-06          0.0445642        5.57511e-06        0.000199306        7.70106e-16        7.10542e-07        1.33525e-19            0.73276
7        0.000188383        2.51178e-05        2.78801e-05             101325            1.10998        2.78801e-05            305.856                  0          0.0017021        1.34438e-06            136.859         3.2205e-07        1.14673e-15        4.38211e-12           0.222103        2.24786e-11        0.000281119        2.45495e-07        2.99457e-15        1.58994e-16        2.59599e-06          0.0445132        1.02396e-05        0.000327991        2.17622e-15        1.24682e-06        3.90682e-19            0.73276
8        0.000213501        2.51178e-05        2.75611e-05             101325            1.09728        2.75611e-05            309.394                  0         0.00280529        2.61311e-06            357.281        5.70598e-07        1.93503e-15         2.6886e-12           0.221802        3.80801e-11        0.000452595        3.83352e-07         8.1255e-15        4.37919e-16        4.22737e-06          0.0444343        1.84943e-05        0.000525335        6.10007e-15        2.14014e-06        1.15756e-18            0.73276
9        0.000238619        2.51178e-05        2.70996e-05             101325             1.0789        2.70996e-05            314.659                  0         0.00450207        5.38519e-06            891.263        9.90878e-07        4.04349e-15        1.36834e-12           0.221352        6.56557e-11          0.0007092        5.85447e-07        2.17202e-14        1.19577e-15        6.70444e-06           0.044316        3.28016e-05        0.000817993        1.70336e-14        3.58948e-06        3.51366e-18            0.73276
10        0.000263736        2.51178e-05        2.64624e-05             101325            1.05353        2.64624e-05             322.23                  0         0.00702826        1.17591e-05            2116.52        1.68382e-06        1.03463e-14        5.74428e-13           0.220702        1.15773e-10         0.00108077        8.76042e-07        5.73279e-14        3.24888e-15        1.03467e-05          0.0441443         5.7019e-05         0.00123702        4.76008e-14         5.8753e-06        1.10545e-17            0.73276
11        0.000288854        2.51178e-05        2.56258e-05             101325            1.02022        2.56258e-05             332.74                  0          0.0106637        2.70461e-05            4775.62        2.79456e-06         2.9414e-14        2.01439e-13           0.219795        2.09637e-10         0.00160093        1.28775e-06        1.49735e-13        8.80739e-15        1.55261e-05          0.0439032          9.691e-05         0.00181544        1.33665e-13        9.37226e-06        3.63521e-17            0.73276
12        0.000313972        2.51178e-05        2.45846e-05             101325           0.978772        2.45846e-05            346.817                  0          0.0157149        6.49336e-05            10239.2        4.52015e-06        8.72047e-14        6.47155e-14           0.218571        3.90402e-10         0.00230461        1.86525e-06        3.87214e-13        2.38266e-14        2.26438e-05           0.043576        0.000160617         0.00258466        3.77616e-13        1.45509e-05          1.251e-16            0.73276
13         0.00033909        2.51178e-05        2.33576e-05             101325           0.929923        2.33576e-05            365.009                  0          0.0224869        0.000161039            20905.6        7.11148e-06        2.62712e-13        3.64596e-14           0.216975        7.45252e-10          0.0032251        2.67055e-06        9.88874e-13        6.40513e-14        3.20965e-05          0.0431463        0.000258933         0.00357044        1.06982e-12        2.19629e-05        4.46516e-16            0.73276
14        0.000364208        2.51178e-05        2.19864e-05             101325           0.875333        2.19864e-05            387.732                  0          0.0312514        0.000407581            40813.5        1.08663e-05        7.90293e-13        8.64273e-14           0.214963        1.44517e-09         0.00439126         3.7894e-06         2.4782e-12        1.69541e-13        4.42413e-05          0.0425997        0.000405205         0.00478962        3.01482e-12        3.22088e-05        1.62303e-15            0.73276
