# Time 0.000915
# eta = 0.002
# length = -5.48419e-05
#--- 	  	 LEM Line data  --- 
#(1) wafer              (2) x             (3) dx              (4) m              (5) p            (6) rho              (7) m              (8) T              (9) Z             (10) C          (11) dCdt       (12) heatRel                  (13) Y_H2                  (14) Y_H                  (15) Y_O                  (16) Y_O2                  (17) Y_OH                  (18) Y_H2O                  (19) Y_HO2                  (20) Y_CH2                  (21) Y_CH2(S)                  (22) Y_CH3                  (23) Y_CH4                  (24) Y_CO                  (25) Y_CO2                  (26) Y_HCO                  (27) Y_CH2O                  (28) Y_CH2OH                  (29) Y_N2
0        1.25592e-05        2.51184e-05        2.82836e-05             101325            1.12601        2.82836e-05            301.501                  0                  0                  0          4.821e-12        1.78487e-07        2.88987e-17        1.15198e-13           0.222469         4.5991e-12        7.41081e-05        5.55497e-08        1.71952e-16        8.94987e-18        7.16825e-07          0.0446077        6.89456e-06        8.07262e-05        1.32089e-16        5.09075e-07        1.99413e-20            0.73276
1        3.76776e-05        2.51184e-05        2.82319e-05             101325            1.12395        2.82319e-05            302.053                  0        0.000736039         4.1289e-07            24.8768        2.53382e-07        5.06894e-17        1.29222e-13           0.222422        6.32957e-12        0.000101556        7.55356e-08        3.11141e-16        1.62301e-17        9.83749e-07          0.0445949        9.86717e-06        0.000110049        2.41058e-16        7.12761e-07        3.65217e-20            0.73276
2         6.2796e-05        2.51184e-05        2.81626e-05             101325             1.1212        2.81626e-05            302.795                  0        0.000968111        5.70576e-07            42.4452        3.66827e-07        9.17291e-17        1.22009e-13           0.222358        8.72002e-12        0.000138728        1.01868e-07        5.87385e-16        3.07351e-17        1.34694e-06          0.0445775        1.44698e-05        0.000148969        4.61317e-16        1.00899e-06        7.02047e-20            0.73276
3        8.79144e-05        2.51184e-05        2.80631e-05             101325            1.11723        2.80631e-05            303.868                  0         0.00131799        8.36807e-07            77.6447        5.45977e-07        1.73663e-16        1.01157e-13           0.222265        1.22817e-11        0.000192849        1.39496e-07        1.14995e-15        6.04393e-17        1.87707e-06          0.0445521        2.18529e-05        0.000204695        9.19077e-16         1.4633e-06         1.4104e-19            0.73276
4        0.000113033        2.51184e-05        2.79232e-05             101325            1.11166        2.79232e-05            305.387                  0         0.00182237        1.28122e-06            146.765         8.2073e-07        3.41034e-16        7.35672e-14           0.222132        1.75292e-11        0.000269969        1.92354e-07        2.28998e-15        1.21104e-16        2.63346e-06          0.0445159        3.33391e-05        0.000282773        1.86922e-15        2.14169e-06        2.91198e-19            0.73276
5        0.000138151        2.51184e-05         2.7731e-05             101325            1.10401         2.7731e-05              307.5                  0         0.00253459        2.03621e-06            281.229        1.23319e-06        6.88522e-16        4.67588e-14           0.221948        2.52534e-11        0.000377956        2.65649e-07        4.58707e-15        2.44637e-16        3.69277e-06          0.0444651        5.08213e-05        0.000390173        3.83904e-15        3.13437e-06        6.12961e-19            0.73276
6         0.00016327        2.51184e-05        2.74721e-05             101325             1.0937        2.74721e-05            310.393                  0         0.00352262        3.35032e-06            539.129        1.84121e-06        1.41905e-15        2.58806e-14           0.221694        3.67202e-11        0.000526799        3.66255e-07        9.19673e-15        4.96047e-16        5.15152e-06          0.0443949        7.69418e-05        0.000535411         7.9288e-15        4.56163e-06         1.3139e-18            0.73276
7        0.000188388        2.51184e-05        2.71306e-05             101325            1.08011        2.71306e-05            314.291                  0         0.00487119        5.70275e-06            1025.18        2.72239e-06        2.97692e-15        1.24444e-14           0.221351        5.40449e-11        0.000728939        5.03323e-07        1.84464e-14        1.00978e-15         7.1288e-06          0.0442993          0.0001153        0.000728668        1.64755e-14        6.58025e-06        2.87901e-18            0.73276
8        0.000213506        2.51184e-05        2.66899e-05             101325            1.06256        2.66899e-05            319.468                  0         0.00668397        1.00435e-05            1923.65        3.97798e-06        6.36681e-15        5.25886e-15           0.220893        8.09141e-11        0.000999537        6.89205e-07        3.71083e-14        2.07029e-15        9.76814e-06           0.044171        0.000170665        0.000981816        3.45711e-14        9.38929e-06        6.49536e-18            0.73276
9        0.000238625        2.51184e-05        2.61345e-05             101325            1.04045        2.61345e-05            326.241                  0         0.00908486        1.83162e-05            3551.63        5.73614e-06        1.39477e-14        2.12561e-15           0.220292        1.23947e-10         0.00135662        9.40803e-07        7.51691e-14        4.29455e-15        1.32381e-05          0.0440013        0.000249166         0.00130833        7.36317e-14        1.32341e-05        1.52182e-17            0.73276
