# Time 0.00047
# eta = 0.002
# length = 0.000548819
#--- 	  	 LEM Line data  --- 
#(1) wafer              (2) x             (3) dx              (4) m              (5) p            (6) rho              (7) m              (8) T              (9) Z             (10) C          (11) dCdt       (12) heatRel                  (13) Y_H2                  (14) Y_H                  (15) Y_O                  (16) Y_O2                  (17) Y_OH                  (18) Y_H2O                  (19) Y_HO2                  (20) Y_CH2                  (21) Y_CH2(S)                  (22) Y_CH3                  (23) Y_CH4                  (24) Y_CO                  (25) Y_CO2                  (26) Y_HCO                  (27) Y_CH2O                  (28) Y_CH2OH                  (29) Y_N2
0        1.25589e-05        2.51179e-05        2.84036e-05             101325            1.13081        2.84036e-05            300.223                  0                  0                  0              1e-20        8.44483e-09         2.4561e-17        3.84209e-12           0.222579        8.49445e-13        1.05835e-05        1.09995e-08        4.21449e-18        2.18008e-19        9.32997e-08          0.0446372        2.52723e-07         1.2528e-05        2.87226e-18        3.63501e-08        4.73802e-22            0.73276
1        3.76768e-05        2.51179e-05        2.83923e-05             101325            1.13036        2.83923e-05            300.343                  0        0.000109489        6.71797e-08           0.855052         1.3603e-08        4.49376e-17        4.71516e-12           0.222569        1.26396e-12        1.62755e-05        1.65338e-08        9.48631e-18        4.91127e-19        1.44304e-07          0.0446346        4.10232e-07        1.92366e-05        6.48879e-18         5.7767e-08        1.07045e-21            0.73276
2        6.27947e-05        2.51179e-05        2.83716e-05             101325            1.12954        2.83716e-05            300.562                  0        0.000163006        9.77237e-08            1.71379        2.38934e-08        8.44411e-17        5.30367e-12           0.222551        1.99188e-12        2.67336e-05        2.62804e-08        2.50447e-17        1.29817e-18        2.39012e-07          0.0446298         7.2879e-07        3.15229e-05        1.72295e-17        9.94795e-08        2.84456e-21            0.73276
3        8.79126e-05        2.51179e-05        2.83349e-05             101325            1.12808        2.83349e-05             300.95                  0        0.000268209        1.57479e-07            4.17352        4.35912e-08        1.54833e-16        5.58741e-12           0.222518         3.2698e-12        4.53306e-05        4.30553e-08        7.04171e-17         3.6577e-18        4.08945e-07          0.0446213        1.34699e-06        5.33009e-05        4.88178e-17        1.77502e-07        8.08616e-21            0.73276
4        0.000113031        2.51179e-05        2.82733e-05             101325            1.12562        2.82733e-05            301.606                  0        0.000454489        2.67681e-07            10.9883          7.975e-08        2.66928e-16        5.42093e-12           0.222463          5.446e-12        7.67826e-05        7.05189e-08        1.99642e-16         1.0403e-17        6.99147e-07          0.0446069        2.50016e-06        8.99866e-05        1.39864e-16        3.16961e-07        2.33311e-20            0.73276
5        0.000138148        2.51179e-05        2.81735e-05             101325            1.12165        2.81735e-05            302.674                  0        0.000768483        4.71089e-07            29.4187         1.4447e-07        4.29375e-16        4.74693e-12           0.222372        9.10108e-12         0.00012817        1.13964e-07        5.58213e-16        2.92227e-17        1.17835e-06          0.0445833        4.60242e-06        0.000149629        3.96725e-16        5.59108e-07        6.70503e-20            0.73276
6        0.000163266        2.51179e-05        2.80172e-05             101325            1.11543        2.80172e-05            304.361                  0         0.00127973        8.56047e-07            77.6652        2.57971e-07        6.64137e-16        3.66887e-12           0.222229         1.5215e-11        0.000209702        1.80807e-07        1.52641e-15        8.05057e-17        1.94744e-06          0.0445459        8.36552e-06        0.000243678        1.10619e-15        9.69599e-07        1.91357e-19            0.73276
7        0.000188384        2.51179e-05        2.77805e-05             101325              1.106        2.77805e-05            306.953                  0         0.00208773          1.614e-06            199.111        4.53163e-07        1.07694e-15        2.44717e-12           0.222009        2.54851e-11        0.000335499        2.81182e-07         4.0778e-15        2.17455e-16        3.14871e-06          0.0444879        1.49833e-05        0.000387686        3.03395e-15        1.64972e-06        5.45172e-19            0.73276
8        0.000213502        2.51179e-05        2.74346e-05             101325            1.09223        2.74346e-05            310.821                  0         0.00332875        3.17746e-06            491.692        7.82028e-07        2.05531e-15        1.38299e-12           0.221678        4.29539e-11        0.000524234        4.28692e-07        1.06627e-14        5.77724e-16        4.97428e-06          0.0444008        2.64031e-05        0.000601713        8.21594e-15        2.75044e-06        1.56582e-18            0.73276
9         0.00023862        2.51179e-05        2.69484e-05             101325            1.07288        2.69484e-05            316.424                  0         0.00518065         6.5563e-06            1164.07        1.32385e-06        4.76476e-15        6.52761e-13           0.221197        7.32638e-11         0.00079938        6.41469e-07        2.73844e-14        1.51681e-15        7.67113e-06          0.0442736        4.56956e-05        0.000910131        2.20909e-14        4.48816e-06        4.58899e-18            0.73276
