# Time 0.0003
# eta = 0.002
# length = 0.000760889
#--- 	  	 LEM Line data  --- 
#(1) wafer              (2) x             (3) dx              (4) m              (5) p            (6) rho              (7) m              (8) T              (9) Z             (10) C          (11) dCdt       (12) heatRel                  (13) Y_H2                  (14) Y_H                  (15) Y_O                  (16) Y_O2                  (17) Y_OH                  (18) Y_H2O                  (19) Y_HO2                  (20) Y_CH2                  (21) Y_CH2(S)                  (22) Y_CH3                  (23) Y_CH4                  (24) Y_CO                  (25) Y_CO2                  (26) Y_HCO                  (27) Y_CH2O                  (28) Y_CH2OH                  (29) Y_N2
0        1.25586e-05        2.51171e-05        2.84218e-05             101325            1.13157        2.84218e-05            300.021                  0                  0                  0       5.11713e-310        5.17621e-10        1.97578e-18        3.30824e-12           0.222596        1.61952e-12        9.97424e-07        1.36932e-09        7.28855e-19        3.76579e-20        8.26038e-09          0.0446416        1.49845e-08         1.1927e-06        4.71825e-19        2.43137e-09        8.14544e-23            0.73276
1        3.76757e-05        2.51171e-05        2.84201e-05             101325             1.1315        2.84201e-05            300.039                  0        1.03246e-05        1.25116e-07           0.115625        9.82643e-10        5.28395e-18        4.82556e-12           0.222595        2.50624e-12        1.83286e-06        2.44631e-09        2.08195e-18        1.07655e-19          1.527e-08          0.0446412        2.84054e-08        2.19049e-06        1.35188e-18         4.6048e-09        2.32978e-22            0.73276
2        6.27928e-05        2.51171e-05        2.84161e-05             101325            1.13135        2.84161e-05            300.081                  0        1.85264e-05         1.8857e-07           0.195608         2.1249e-09        1.68506e-17        7.29263e-12           0.222591        4.15079e-12         3.8066e-06        4.90504e-09        7.27153e-18        3.75782e-19        3.19453e-08          0.0446403        6.13524e-08        4.54611e-06        4.74034e-18        9.92214e-09        8.14325e-22            0.73276
3        8.79099e-05        2.51171e-05        2.84076e-05             101325              1.131        2.84076e-05            300.172                  0        3.85863e-05        3.14281e-07           0.414173        4.69613e-09        5.34421e-17        1.08899e-11           0.222584        6.93495e-12        8.06635e-06        1.00266e-08        2.56757e-17        1.32717e-18        6.81921e-08          0.0446384        1.35543e-07        9.62582e-06          1.681e-17        2.18265e-08         2.8829e-21            0.73276
4        0.000113027        2.51171e-05        2.83901e-05             101325            1.13031        2.83901e-05            300.357                  0        8.17606e-05        5.29354e-07            1.03565        1.02219e-08        1.56892e-16        1.53508e-11           0.222568        1.12336e-11        1.67827e-05        2.00935e-08        8.59021e-17        4.44432e-18         1.4296e-07          0.0446344        2.95208e-07        2.00092e-05        5.65316e-17        4.72226e-08        9.69806e-21            0.73276
5        0.000138144        2.51171e-05        2.83557e-05             101325            1.12894        2.83557e-05             300.72                  0        0.000169967        8.70631e-07            2.95589        2.17318e-08        4.12907e-16        1.98452e-11           0.222538         1.7372e-11         3.3949e-05        3.90615e-08        2.66697e-16        1.38253e-17        2.91526e-07          0.0446266        6.28711e-07        4.04329e-05        1.76703e-16        9.96169e-08        3.04263e-20            0.73276
6        0.000163261        2.51171e-05        2.82909e-05             101325            1.12636        2.82909e-05            301.409                  0        0.000343445        1.38682e-06            9.15393        4.50374e-08        9.53928e-16         2.2951e-11           0.222481        2.55372e-11        6.65638e-05        7.34162e-08        7.63919e-16         3.9741e-17        5.76568e-07          0.0446117         1.3071e-06        7.91758e-05        5.10967e-16        2.04416e-07        8.88314e-20            0.73276
7        0.000188378        2.51171e-05        2.81733e-05             101325            1.12168        2.81733e-05            302.667                  0         0.00067256        2.15325e-06            29.1622        9.09231e-08        1.90381e-15        2.31188e-11           0.222375        3.58603e-11        0.000126288        1.33206e-07        2.02778e-15        1.06086e-16        1.10421e-06          0.0445845        2.65187e-06        0.000149982        1.37559e-15        4.07586e-07        2.43804e-19            0.73276
8        0.000213496        2.51171e-05        2.79692e-05             101325            1.11355        2.79692e-05            304.875                  0         0.00127427        3.32135e-06            91.9291        1.78716e-07        3.26993e-15        1.96834e-11           0.222189        4.90169e-11        0.000231481        2.33096e-07        5.07586e-15        2.68128e-16        2.04485e-06          0.0445364        5.24945e-06        0.000274387        3.51805e-15        7.88867e-07         6.4672e-19            0.73276
9        0.000238613        2.51171e-05        2.76324e-05             101325            1.10014        2.76324e-05             308.59                  0         0.00233218        5.26214e-06            279.829        3.41759e-07        5.03869e-15        1.37304e-11           0.221876        6.78124e-11        0.000409216        3.93217e-07         1.2421e-14        6.67093e-16        3.65591e-06          0.0444552        1.01354e-05        0.000483907        8.89551e-15        1.48024e-06        1.74572e-18            0.73276
10         0.00026373        2.51171e-05        2.71074e-05             101325            1.07924        2.71074e-05            314.564                  0         0.00411598        8.97978e-06            809.138        6.35155e-07        8.10604e-15        7.65082e-12            0.22137        1.00399e-10        0.000696384        6.39675e-07        3.12365e-14         1.7215e-15        6.29942e-06          0.0443237        1.90727e-05        0.000821025        2.34859e-14        2.68872e-06        5.13303e-18            0.73276
11        0.000288847        2.51171e-05        2.63412e-05             101325            1.04874        2.63412e-05            323.709                  0         0.00699126        1.73842e-05            2195.21        1.14555e-06        1.72172e-14        3.37435e-12           0.220591        1.65964e-10         0.00113868        1.00508e-06        8.34108e-14        4.76953e-15        1.04432e-05          0.0441209        3.49375e-05         0.00133741        6.71259e-14        4.71926e-06        1.72332e-17            0.73276
