# Time 0.000555
# eta = 0.002
# length = 0.000436816
#--- 	  	 LEM Line data  --- 
#(1) wafer              (2) x             (3) dx              (4) m              (5) p            (6) rho              (7) m              (8) T              (9) Z             (10) C          (11) dCdt       (12) heatRel                  (13) Y_H2                  (14) Y_H                  (15) Y_O                  (16) Y_O2                  (17) Y_OH                  (18) Y_H2O                  (19) Y_HO2                  (20) Y_CH2                  (21) Y_CH2(S)                  (22) Y_CH3                  (23) Y_CH4                  (24) Y_CO                  (25) Y_CO2                  (26) Y_HCO                  (27) Y_CH2O                  (28) Y_CH2OH                  (29) Y_N2
0         1.2559e-05        2.51181e-05        2.83852e-05             101325            1.13007        2.83852e-05            300.419                  0                  0                  0         5.0262e-12        2.02566e-08        3.38638e-17         2.6629e-12           0.222563        1.24993e-12        2.00131e-05        1.88792e-08        1.19791e-17        6.20561e-19        1.81192e-07          0.0446329        6.35855e-07         2.3476e-05        8.32267e-18        8.06533e-08        1.35396e-21            0.73276
1        3.76771e-05        2.51181e-05        2.83666e-05             101325            1.12933        2.83666e-05            300.617                  0        0.000206267        1.00807e-07            2.43843        3.13757e-08        5.76211e-17        3.16196e-12           0.222546        1.84802e-12        2.94864e-05        2.73152e-08          2.551e-17        1.32248e-18          2.684e-07          0.0446286        9.95545e-07        3.45087e-05          1.782e-17         1.2279e-07        2.89783e-21            0.73276
2        6.27952e-05        2.51181e-05        2.83354e-05             101325            1.12809        2.83354e-05            300.948                  0        0.000293421        1.46469e-07            4.66599        5.21001e-08        9.66204e-17        3.33175e-12           0.222518        2.86825e-12         4.5416e-05        4.09374e-08        6.20171e-17        3.22037e-18        4.16797e-07          0.0446212        1.67961e-06        5.29531e-05        4.36946e-17         1.9871e-07        7.10909e-21            0.73276
3        8.79132e-05        2.51181e-05        2.82834e-05             101325            1.12602        2.82834e-05            301.501                  0        0.000452207        2.34709e-07             10.442        8.99151e-08        1.57234e-16        3.21011e-12           0.222471        4.61424e-12        7.21212e-05         6.3131e-08        1.59919e-16        8.32565e-18        6.67882e-07           0.044609        2.94989e-06        8.37061e-05        1.13934e-16        3.33261e-07        1.85996e-20            0.73276
4        0.000113031        2.51181e-05        2.82006e-05             101325            1.12272        2.82006e-05            302.384                  0        0.000717011        3.96266e-07            24.9598        1.56224e-07        2.46392e-16        2.79943e-12           0.222396         7.5035e-12        0.000114939        9.77991e-08        4.16269e-16        2.17589e-17        1.07424e-06          0.0445893        5.21996e-06        0.000132697        3.00802e-16        5.61886e-07        4.95188e-20            0.73276
5        0.000138149        2.51181e-05        2.80736e-05             101325            1.11767        2.80736e-05            303.752                  0         0.00113964         6.9245e-07            60.6363         2.6965e-07        3.83314e-16        2.17788e-12            0.22228         1.2205e-11        0.000181463         1.5038e-07        1.07009e-15         5.6271e-17        1.71173e-06          0.0445586        9.18318e-06        0.000208217        7.87434e-16        9.39811e-07        1.31719e-19            0.73276
6        0.000163267        2.51181e-05        2.78844e-05             101325            1.11013        2.78844e-05            305.811                  0         0.00179303        1.24767e-06            145.741        4.59804e-07        6.36029e-16        1.48643e-12           0.222104        1.98118e-11        0.000282124        2.28296e-07        2.69553e-15        1.42979e-16        2.68601e-06          0.0445121        1.59724e-05         0.00032141        2.03044e-15        1.55061e-06        3.48954e-19            0.73276
7        0.000188386        2.51181e-05        2.76111e-05             101325            1.09925        2.76111e-05            308.836                  0         0.00277618        2.32402e-06            341.763        7.72483e-07        1.21394e-15        8.75996e-13           0.221844        3.21713e-11        0.000430758        3.41534e-07        6.64706e-15        3.56977e-16        4.13911e-06          0.0444432        2.73895e-05         0.00048665        5.15989e-15          2.517e-06        9.25412e-19            0.73276
8        0.000213504        2.51181e-05        2.72288e-05             101325            1.08403        2.72288e-05            313.167                  0         0.00421853        4.49144e-06            776.274        1.27634e-06        2.68827e-15         4.3978e-13           0.221472        5.25333e-11        0.000645028        5.03451e-07        1.60919e-14        8.79188e-16        6.25455e-06          0.0443437         4.6214e-05        0.000721624        1.29816e-14        4.01335e-06        2.48056e-18            0.73276
9        0.000238622        2.51181e-05        2.67123e-05             101325            1.06347        2.67123e-05            319.216                  0         0.00628226         9.0238e-06            1701.44        2.07065e-06        6.56116e-15        1.86764e-13           0.220948        8.68772e-11        0.000946551        7.31949e-07        3.84401e-14          2.149e-15        9.25925e-06          0.0442033        7.65831e-05         0.00104698        3.25565e-14         6.2781e-06        6.80286e-18            0.73276
10         0.00026374        2.51181e-05        2.60398e-05             101325             1.0367        2.60398e-05            327.449                  0          0.0091613        1.88477e-05            3592.42        3.29295e-06        1.68484e-14         6.7638e-14           0.220232        1.46602e-10         0.00136059        1.05126e-06        9.11205e-14        5.24706e-15        1.34203e-05          0.0440099        0.000124401         0.00148537        8.19824e-14        9.62347e-06         1.9317e-17            0.73276
11        0.000288858        2.51181e-05        2.51985e-05             101325             1.0032        2.51985e-05            338.364                  0          0.0130757        4.08607e-05            7304.89        5.12481e-06        4.46091e-14        2.23788e-14           0.219277        2.53871e-10         0.00191523        1.49463e-06        2.15297e-13         1.2857e-14         1.9035e-05          0.0437499        0.000197696         0.00205994        2.08456e-13        1.44384e-05        5.72612e-17            0.73276
12        0.000313976        2.51181e-05        2.41889e-05             101325           0.963009        2.41889e-05            352.459                  0          0.0182606        9.16406e-05            14318.6        7.79294e-06        1.20887e-13        1.12078e-14           0.218034        4.52052e-10         0.00263997        2.10812e-06        5.07812e-13        3.16477e-14        2.64154e-05           0.043409        0.000306799         0.00279244        5.36232e-13        2.11806e-05        1.77447e-16            0.73276
13        0.000339094        2.51181e-05        2.30275e-05             101325           0.916772        2.30275e-05            370.195                  0          0.0249518        0.000211456            27110.6        1.15636e-05        3.33026e-13        2.15626e-14           0.216457        8.25099e-10         0.00356412        2.95559e-06        1.19285e-12        7.79625e-14        3.58682e-05          0.0429725        0.000464226         0.00370129        1.39163e-12        3.03563e-05        5.70864e-16            0.73276
14        0.000364212        2.51181e-05        2.17457e-05             101325           0.865741        2.17457e-05            391.957                  0          0.0333691        0.000497803            49732.6        1.67298e-05        9.23657e-13        7.88381e-14           0.214503         1.5311e-09         0.00471507        4.12467e-06         2.7737e-12        1.90634e-13        4.76763e-05          0.0424269         0.00068419         0.00480025         3.6178e-12        4.24889e-05        1.87964e-15            0.73276
15         0.00038933        2.51181e-05        2.03852e-05             101325           0.811574        2.03852e-05            418.033                  0          0.0437021         0.00118218            88732.7        2.35926e-05        2.55415e-12        3.24715e-13           0.212134        2.85527e-09         0.00611695        5.73328e-06        6.33259e-12        4.57731e-13        6.20867e-05          0.0417597        0.000981798         0.00609785        9.33282e-12        5.80818e-05        6.22555e-15            0.73276
16        0.000414448        2.51181e-05         1.8991e-05             101325           0.756069         1.8991e-05            448.604                  0          0.0561021         0.00279527             154660        3.24414e-05        7.00603e-12        1.39496e-12           0.209322        5.28376e-09         0.00778999        7.93614e-06        1.40797e-11        1.06758e-12        7.93078e-05          0.0409606          0.0013721         0.00759788        2.36723e-11        7.75854e-05        2.04342e-14            0.73276
17        0.000439566        2.51181e-05        1.76054e-05             101325           0.700904        1.76054e-05             483.75                  0          0.0706811         0.00649426             264560        4.35373e-05         1.9118e-11        6.09867e-12           0.206043        9.59544e-09         0.00975045        1.09308e-05        3.03123e-11        2.39889e-12        9.95178e-05          0.0400209          0.0018692         0.00930057        5.86751e-11        0.000101373         6.6006e-14            0.73276
18        0.000464684        2.51181e-05        1.62629e-05             101325           0.647456        1.62629e-05            523.468                  0           0.087517          0.0146567             446149        5.71024e-05        5.25066e-11        2.66909e-11            0.20228        1.69795e-08          0.0120112        1.49626e-05        6.31624e-11        5.17892e-12        0.000122882          0.0389339         0.00248564          0.0112042        1.42009e-10        0.000129728        2.10862e-13            0.73276
19        0.000489802        2.51181e-05        1.49884e-05             101325           0.596718        1.49884e-05            567.697                  0           0.106664          0.0318896             745102        7.33171e-05        1.47313e-10        1.15488e-10           0.198019        2.92598e-08          0.0145827        2.03286e-05        1.28471e-10        1.08065e-11        0.000149572          0.0376938         0.00323206          0.0133066        3.37748e-10        0.000162845         6.7713e-13            0.73276
20         0.00051492        2.51181e-05        1.37975e-05             101325           0.549304        1.37975e-05            616.338                  0           0.128164          0.0668075         1.2394e+06        9.23222e-05        4.25814e-10        4.88708e-10           0.193247        4.95713e-08          0.0174736        2.73781e-05        2.60826e-10        2.22113e-11        0.000179791           0.036296         0.00411723           0.015606        8.00548e-10        0.000200834        2.22781e-12            0.73276
21        0.000540038        2.51181e-05        1.26976e-05             101325           0.505515        1.26976e-05            669.275                  0           0.152053           0.135954        2.07301e+06        0.000114225        1.26226e-09        2.00063e-09           0.187953        8.46502e-08          0.0206917        3.65081e-05        5.49614e-10        4.65804e-11        0.000213797          0.0347364         0.00514816          0.0181023        1.92816e-09         0.00024372        7.56622e-12            0.73276
