# Time 0.000745
# eta = 0.002
# length = 0.000179697
#--- 	  	 LEM Line data  --- 
#(1) wafer              (2) x             (3) dx              (4) m              (5) p            (6) rho              (7) m              (8) T              (9) Z             (10) C          (11) dCdt       (12) heatRel                  (13) Y_H2                  (14) Y_H                  (15) Y_O                  (16) Y_O2                  (17) Y_OH                  (18) Y_H2O                  (19) Y_HO2                  (20) Y_CH2                  (21) Y_CH2(S)                  (22) Y_CH3                  (23) Y_CH4                  (24) Y_CO                  (25) Y_CO2                  (26) Y_HCO                  (27) Y_CH2O                  (28) Y_CH2OH                  (29) Y_N2
0        1.25591e-05        2.51183e-05        2.83325e-05             101325            1.12796        2.83325e-05            300.981                  0                  0                  0                  0        8.00035e-08        2.95068e-17        6.69758e-13           0.222515        2.91905e-12        4.76168e-05        3.88821e-08        6.90086e-17        3.58375e-18        4.51116e-07          0.0446201        2.83533e-06        5.40544e-05        5.04789e-17        2.63097e-07        7.90377e-21            0.73276
1        3.76774e-05        2.51183e-05        2.82958e-05             101325             1.1265        2.82958e-05            301.371                  0        0.000482952        2.48874e-07            11.2357         1.1721e-07        4.87387e-17        7.66206e-13           0.222481        4.11502e-12        6.66698e-05        5.38604e-08        1.31531e-16        6.84177e-18        6.33799e-07          0.0446113        4.19875e-06        7.53704e-05        9.69763e-17         3.7877e-07        1.52005e-20            0.73276
2        6.27957e-05        2.51183e-05        2.82426e-05             101325            1.12438        2.82426e-05            301.938                  0        0.000650287        3.48881e-07            19.9283        1.78637e-07        7.98332e-17        7.50064e-13           0.222433        5.90801e-12        9.45449e-05        7.50776e-08        2.70218e-16         1.4092e-17         9.0374e-07          0.0445984        6.50496e-06        0.000106131        2.01758e-16        5.61701e-07        3.16798e-20            0.73276
3         8.7914e-05        2.51183e-05        2.81618e-05             101325            1.12117        2.81618e-05            302.803                  0        0.000920402        5.26881e-07            39.0563         2.8159e-07        1.34714e-16        6.52468e-13           0.222359        8.72615e-12        0.000137263        1.06898e-07        5.82366e-16        3.04823e-17        1.32018e-06          0.0445785        1.04402e-05        0.000152721        4.41862e-16        8.58627e-07        6.97466e-20            0.73276
4        0.000113032        2.51183e-05        2.80433e-05             101325            1.11645        2.80433e-05            304.081                  0          0.0013311        8.35647e-07            80.1591        4.48207e-07        2.40383e-16        5.02107e-13           0.222249        1.30584e-11         0.00020074        1.53365e-07        1.27597e-15        6.71462e-17        1.94238e-06           0.044549        1.69202e-05        0.000221085        9.87079e-16        1.32452e-06        1.57637e-19            0.73276
5        0.000138151        2.51183e-05         2.7874e-05             101325            1.10971         2.7874e-05            305.926                  0         0.00193687        1.37743e-06            167.175        7.11496e-07        4.62422e-16        3.39231e-13           0.222089        1.96599e-11        0.000292858        2.19884e-07        2.79529e-15        1.48215e-16         2.8495e-06           0.044506        2.73386e-05        0.000318903        2.21342e-15        2.03815e-06        3.60927e-19            0.73276
6        0.000163269        2.51183e-05        2.76382e-05             101325            1.10032        2.76382e-05            308.532                  0         0.00280907        2.35039e-06            347.598        1.11938e-06        9.55293e-16        1.99681e-13           0.221863        2.97396e-11        0.000423858        3.13631e-07         6.0799e-15        3.25766e-16        4.14433e-06          0.0444448        4.37614e-05        0.000455801         4.9521e-15         3.1095e-06        8.34762e-19            0.73276
7        0.000188387        2.51183e-05        2.73179e-05             101325            1.08757        2.73179e-05            312.144                  0         0.00403871        4.14937e-06            712.506         1.7396e-06         2.0767e-15        1.01546e-13           0.221549        4.53152e-11        0.000606717        4.44135e-07        1.31156e-14        7.12725e-16        5.95679e-06           0.044359        6.91689e-05        0.000643477         1.1056e-14        4.68803e-06        1.95767e-18            0.73276
8        0.000213505        2.51183e-05        2.68939e-05             101325            1.07069        2.68939e-05            317.057                  0          0.0057389        7.58166e-06            1430.79        2.66503e-06        4.66681e-15        4.44989e-14           0.221119        6.99206e-11        0.000857448        6.24156e-07          2.814e-14        1.55778e-15        8.44622e-06          0.0442411        0.000107732        0.000895685        2.47341e-14        6.97094e-06        4.69343e-18            0.73276
9        0.000238624        2.51183e-05        2.63477e-05             101325            1.04895        2.63477e-05            323.617                  0         0.00804608        1.43483e-05            2805.62        4.01873e-06        1.07607e-14         1.6945e-14           0.220543        1.09959e-10         0.00119522        8.70979e-07        6.03252e-14        3.41954e-15        1.18017e-05          0.0440818        0.000165089         0.00122799         5.5778e-14        1.02098e-05        1.16177e-17            0.73276
10        0.000263742        2.51183e-05        2.56645e-05             101325            1.02174        2.56645e-05            332.213                  0          0.0111196        2.81364e-05               5365        5.95755e-06        2.54689e-14        6.07498e-15           0.219783        1.77353e-10         0.00164223        1.20834e-06        1.29838e-13         7.5789e-15        1.62396e-05          0.0438704        0.000248578         0.00165731        1.27559e-13        1.47134e-05        2.99695e-17            0.73276
11         0.00028886        2.51183e-05         2.4836e-05             101325           0.988763         2.4836e-05            343.267                  0          0.0151389        5.71619e-05            10003.9         8.6728e-06        6.20041e-14        3.34175e-15             0.2188        2.94588e-10         0.00222325        1.66919e-06        2.81459e-13        1.70151e-14         2.1998e-05          0.0435947         0.00036733         0.00220117        2.97029e-13        2.08447e-05        8.10468e-17            0.73276
12        0.000313979        2.51183e-05        2.38638e-05             101325           0.950058        2.38638e-05            357.212                  0          0.0202985        0.000120112            18205.5        1.23866e-05        1.55198e-13        5.99301e-15           0.217551        5.04196e-10         0.00296475        2.29945e-06        6.14691e-13        3.86872e-14        2.93285e-05          0.0432418        0.000532175         0.00287686        7.04747e-13        2.90104e-05        2.29835e-16            0.73276
13        0.000339097        2.51183e-05        2.27608e-05             101325           0.906144        2.27608e-05            374.467                  0          0.0267997        0.000259987            32384.5        1.73434e-05        3.97622e-13        1.96233e-14           0.215993        8.85899e-10         0.00389385        3.16274e-06        1.34831e-12        8.87105e-14        3.84859e-05          0.0427984        0.000755285         0.00370055        1.69839e-12        3.96421e-05        6.79226e-16            0.73276
14        0.000364215        2.51183e-05        2.15507e-05             101325            0.85797        2.15507e-05            395.415                  0           0.034842        0.000575731            56426.6         2.3797e-05        1.03487e-12        7.47305e-14           0.214085        1.58565e-09         0.00503696        4.34607e-06        2.95224e-12        2.03542e-13         4.9719e-05          0.0422512         0.00104958         0.00468648        4.12991e-12        5.31724e-05        2.06721e-15            0.73276
15        0.000389334        2.51183e-05        2.02659e-05             101325           0.806819        2.02659e-05            420.378                  0          0.0446136         0.00129182            96545.5        3.19956e-05        2.71493e-12        3.06133e-13           0.211787        2.86141e-09         0.00641862        5.96599e-06        6.40278e-12         4.6271e-13        6.32643e-05          0.0415881         0.00142802         0.00584659        1.00481e-11         7.0009e-05        6.38721e-15            0.73276
16        0.000414452        2.51183e-05        1.89428e-05             101325           0.754144        1.89428e-05              449.6                  0          0.0562837         0.00290398             162666        4.21676e-05        7.14959e-12        1.30855e-12           0.209068        5.14801e-09         0.00806059        8.17487e-06         1.3648e-11        1.03177e-12        7.93438e-05          0.0407983         0.00190281         0.00719036        2.42602e-11        9.05129e-05        1.97878e-14            0.73276
17         0.00043957        2.51183e-05        1.76173e-05             101325           0.701373        1.76173e-05            483.242                  0          0.0699982         0.00646427             270687        5.45117e-05        1.89423e-11        5.70008e-12           0.205897         9.1421e-09         0.00998141        1.11668e-05        2.84321e-11        2.23902e-12          9.817e-05          0.0398723         0.00248488         0.00872517         5.7789e-11        0.000114983        6.11264e-14            0.73276
18        0.000464688        2.51183e-05        1.63208e-05             101325           0.649759        1.63208e-05            521.389                  0          0.0858791          0.0141008             446273        6.91918e-05        5.09643e-11        2.48585e-11           0.202253        1.59188e-08          0.0121965        1.51828e-05        5.78343e-11         4.7138e-12        0.000119955          0.0388023         0.00318356          0.0104568        1.35656e-10        0.000143652        1.89265e-13            0.73276
19        0.000489807        2.51183e-05        1.50781e-05             101325           0.600284        1.50781e-05            564.058                  0           0.104027          0.0299217             731531        8.63385e-05        1.40882e-10         1.0714e-10           0.198114        2.71565e-08          0.0147187        2.05145e-05        1.15737e-10        9.67577e-12        0.000144923          0.0375819         0.00400648          0.0123902        3.15518e-10        0.000176682        5.96578e-13            0.73276
20        0.000514925        2.51183e-05        1.39061e-05             101325           0.553625        1.39061e-05            611.216                  0           0.124528          0.0616571         1.1983e+06        0.000106053        4.02793e-10        4.51742e-10           0.193465        4.57841e-08          0.0175586         2.7505e-05        2.32719e-10        1.97085e-11        0.000173329          0.0362056         0.00495977          0.0145297        7.36585e-10        0.000214173         1.9477e-12            0.73276
21        0.000540043        2.51183e-05        1.28149e-05             101325           0.510181        1.28149e-05            662.795                  0           0.147456           0.124335        1.97949e+06        0.000128414        1.18555e-09        1.84538e-09            0.18829        7.81164e-08          0.0207256        3.65449e-05        4.88362e-10        4.12095e-11        0.000205475          0.0346686         0.00604832            0.01688         1.7584e-09        0.000256162        6.61706e-12            0.73276
22        0.000565162        2.51183e-05        1.18086e-05             101325           0.470118        1.18086e-05            718.704                  0            0.17288            0.25112        3.35341e+06        0.000153484         3.5368e-09        7.22945e-09           0.182577         1.4075e-07          0.0242281        4.80563e-05         1.1186e-09        9.24245e-11        0.000241736          0.0329666         0.00727598          0.0194458        4.36756e-09        0.000302624        2.30479e-11            0.73276
23         0.00059028        2.51183e-05        1.08871e-05             101325           0.433434        1.08871e-05            778.843                  0           0.200867           0.530123        5.98181e+06        0.000181314        1.04811e-08        2.68866e-08           0.176313         2.8141e-07          0.0280736        6.24519e-05        2.85645e-09        2.28711e-10        0.000282594          0.0310954         0.00864574          0.0222322        1.13495e-08         0.00035347         8.0153e-11            0.73276
24        0.000615398        2.51183e-05        1.00475e-05             101325           0.400007        1.00475e-05            843.102                  0           0.231479            1.22914        1.15659e+07        0.000211945        3.03101e-08        9.41129e-08           0.169486        6.37358e-07          0.0322682        8.00482e-05        7.93772e-09        6.16407e-10        0.000328696          0.0290516          0.0101597          0.0252439        3.04859e-08        0.000408533        2.71346e-10            0.73276
25        0.000640516        2.51183e-05        9.28502e-06             101325           0.369652        9.28502e-06            911.361                  0           0.264773            3.18938        2.45564e+07         0.00024541        8.45454e-08        3.08361e-07           0.162091        1.58657e-06           0.036816        0.000100899        2.28298e-08        1.73122e-09        0.000380924          0.0268324          0.0118187          0.0284847        8.26023e-08        0.000467549        8.78387e-10            0.73276
26        0.000665635        2.51183e-05        8.59415e-06             101325           0.342147        8.59415e-06            983.477                  0           0.300787            8.95464         5.6316e+07         0.00028172        2.26247e-07        9.44033e-07           0.154127        4.10924e-06          0.0417159        0.000124503        6.49829e-08         4.8441e-09        0.000440381           0.024437          0.0136216          0.0319561        2.19879e-07        0.000530097        2.69009e-09            0.73276
27        0.000690753        2.51183e-05        7.96927e-06             101325           0.317269        7.96927e-06            1059.26                  0           0.339526            25.6781        1.34516e+08        0.000320835        5.79907e-07        2.70382e-06           0.145607        1.05835e-05          0.0469582        0.000149359        1.77874e-07        1.30938e-08        0.000508002          0.0218684          0.0155635          0.0356554        5.62695e-07        0.000595442        7.74481e-09            0.73276
28        0.000715871        2.51183e-05        7.40518e-06             101325           0.294812        7.40518e-06            1138.39                  0           0.380924            71.7307        3.22396e+08        0.000362633        1.42247e-06        7.26864e-06           0.136553        2.63913e-05          0.0525228        0.000172436          4.606e-07        3.35797e-08        0.000583263          0.0191347          0.0176351          0.0395776        1.36325e-06        0.000662239        2.08709e-08           0.732759
29         0.00074099        2.51183e-05        6.89757e-06             101325           0.274603        6.89757e-06            1220.37                  0           0.424859            189.534         7.5303e+08        0.000406768        3.32884e-06        1.83993e-05           0.127004        6.27958e-05          0.0583732        0.000188945        1.11533e-06        8.06957e-08         0.00066112          0.0162539          0.0198197          0.0437173        3.08886e-06        0.000727725         5.2366e-08           0.732759
30        0.000766108        2.51183e-05        6.44371e-06             101325           0.256535        6.44371e-06            1304.26                  0           0.471117            464.448        1.67418e+09        0.000452247        7.37548e-06         4.3889e-05           0.117034        0.000141092          0.0644337        0.000193348        2.48834e-06        1.78993e-07         0.00072696          0.0132683          0.0220807          0.0480653        6.44981e-06        0.000785813        1.20963e-07           0.732758
31        0.000791226        2.51183e-05        6.04348e-06             101325           0.240601        6.04348e-06            1388.28                  0           0.519252            1034.91         3.4556e+09        0.000496516        1.52661e-05        9.83676e-05           0.106802        0.000295982          0.0705512        0.000182158        4.98029e-06        3.56981e-07        0.000752812          0.0102677          0.0243356          0.0526043        1.21234e-05        0.000823515        2.51029e-07           0.732757
32        0.000816344        2.51183e-05        5.70036e-06             101325           0.226941        5.70036e-06            1469.29                  0           0.568353            2043.63        6.41121e+09        0.000534008        2.89399e-05         0.00020557          0.0966248        0.000571205          0.0764484        0.000156453        8.52111e-06        6.10937e-07        0.000705162         0.00741349          0.0264092           0.057301        1.97489e-05        0.000817224        4.46325e-07           0.732756
33        0.000841463        2.51183e-05        5.42087e-06             101325           0.215814        5.42087e-06            1542.55                  0           0.616765            3458.85        1.02313e+10        0.000555534        4.90603e-05        0.000394955          0.0870353         0.00099637          0.0817167        0.000121971        1.16307e-05        8.39497e-07        0.000574641          0.0049298          0.0279988          0.0620937        2.65062e-05        0.000739294        6.34032e-07           0.732756
