# Time 0.000905
# eta = 0.002
# length = -4.09683e-05
#--- 	  	 LEM Line data  --- 
#(1) wafer              (2) x             (3) dx              (4) m              (5) p            (6) rho              (7) m              (8) T              (9) Z             (10) C          (11) dCdt       (12) heatRel                  (13) Y_H2                  (14) Y_H                  (15) Y_O                  (16) Y_O2                  (17) Y_OH                  (18) Y_H2O                  (19) Y_HO2                  (20) Y_CH2                  (21) Y_CH2(S)                  (22) Y_CH3                  (23) Y_CH4                  (24) Y_CO                  (25) Y_CO2                  (26) Y_HCO                  (27) Y_CH2O                  (28) Y_CH2OH                  (29) Y_N2
0        1.25592e-05        2.51184e-05        2.82864e-05             101325            1.12612        2.82864e-05            301.472                  0                  0                  0        2.98479e-11         1.7162e-07        2.84567e-17         1.2934e-13           0.222472        4.50279e-12        7.25834e-05         5.4651e-08        1.64804e-16        8.57666e-18        7.01555e-07          0.0446084        6.60072e-06        7.92741e-05        1.26245e-16        4.93086e-07        1.90986e-20            0.73276
1        3.76776e-05        2.51184e-05        2.82355e-05             101325             1.1241        2.82355e-05            302.015                  0        0.000721862        4.03068e-07             23.974        2.44004e-07        4.97951e-17        1.45227e-13           0.222425        6.20357e-12        9.95586e-05        7.43742e-08        2.98887e-16        1.55884e-17        9.63789e-07          0.0445958        9.46242e-06        0.000108175        2.30914e-16        6.91267e-07        3.50525e-20            0.73276
2         6.2796e-05        2.51184e-05        2.81671e-05             101325            1.12137        2.81671e-05            302.747                  0        0.000950425        5.57302e-07            40.9773        3.54142e-07        8.98395e-17        1.37359e-13           0.222362         8.5623e-12        0.000136225        1.00451e-07        5.66403e-16        2.96317e-17        1.32202e-06          0.0445787        1.39142e-05        0.000146687        4.43581e-16        9.80721e-07        6.76241e-20            0.73276
3        8.79144e-05        2.51184e-05        2.80684e-05             101325            1.11745        2.80684e-05            303.809                  0         0.00129613        8.18373e-07            75.1978        5.28616e-07        1.69712e-16        1.14143e-13            0.22227        1.20859e-11        0.000189742        1.37801e-07        1.11379e-15         5.8526e-17        1.84635e-06          0.0445536        2.10789e-05        0.000201979        8.87632e-16        1.42593e-06        1.36427e-19            0.73276
4        0.000113033        2.51184e-05        2.79297e-05             101325            1.11192        2.79297e-05            305.317                  0         0.00179579        1.25503e-06            142.688        7.96939e-07        3.33091e-16        8.32266e-14           0.222139        1.72879e-11        0.000266158        1.90369e-07        2.22795e-15        1.17792e-16        2.59616e-06          0.0445178        3.22579e-05        0.000279624        1.81329e-15        2.09241e-06         2.8287e-19            0.73276
5        0.000138151        2.51184e-05        2.77385e-05             101325            1.10431        2.77385e-05            307.417                  0         0.00250284         1.9981e-06            274.517        1.20079e-06        6.73238e-16        5.30428e-14           0.221955        2.49575e-11        0.000373343        2.63374e-07         4.4818e-15        2.38951e-16        3.64829e-06          0.0444674        4.93198e-05        0.000386627        3.73983e-15        3.06989e-06         5.9781e-19            0.73276
6         0.00016327        2.51184e-05        2.74807e-05             101325            1.09405        2.74807e-05            310.296                  0         0.00348542        3.29356e-06            528.308         1.7976e-06        1.39065e-15        2.94362e-14           0.221703        3.63577e-11          0.0005213        3.63705e-07        9.02053e-15        4.86378e-16        5.09963e-06          0.0443976        7.48806e-05         0.00053156        7.75358e-15        4.47828e-06        1.28608e-18            0.73276
7        0.000188388        2.51184e-05        2.71401e-05             101325            1.08049        2.71401e-05            314.181                  0         0.00482859         5.6164e-06            1008.22        2.66458e-06         2.9252e-15        1.41834e-14           0.221361        5.35986e-11        0.000722495        5.00534e-07        1.81556e-14        9.93496e-16        7.06982e-06          0.0443025        0.000112513        0.000724672        1.61669e-14        6.47419e-06        2.82718e-18            0.73276
8        0.000213506        2.51184e-05        2.67002e-05             101325            1.06297        2.67002e-05            319.346                  0         0.00663645        9.90963e-06            1897.98         3.9027e-06        6.27324e-15        5.99222e-15           0.220905        8.03595e-11        0.000992132         6.8623e-07        3.66347e-14        2.04308e-15        9.70313e-06          0.0441747        0.000166965        0.000977917        3.40276e-14        9.25679e-06        6.39688e-18            0.73276
9        0.000238625        2.51184e-05        2.61451e-05             101325            1.04087        2.61451e-05             326.11                  0         0.00903345         1.8105e-05            3514.27        5.64007e-06        1.37776e-14        2.39237e-15           0.220304         1.2325e-10         0.00134828        9.37711e-07        7.44081e-14        4.24944e-15        1.31691e-05          0.0440055        0.000244348         0.00130485        7.26718e-14         1.3072e-05        1.50266e-17            0.73276
