# Time 0.000525
# eta = 0.002
# length = 0.000476635
#--- 	  	 LEM Line data  --- 
#(1) wafer              (2) x             (3) dx              (4) m              (5) p            (6) rho              (7) m              (8) T              (9) Z             (10) C          (11) dCdt       (12) heatRel                  (13) Y_H2                  (14) Y_H                  (15) Y_O                  (16) Y_O2                  (17) Y_OH                  (18) Y_H2O                  (19) Y_HO2                  (20) Y_CH2                  (21) Y_CH2(S)                  (22) Y_CH3                  (23) Y_CH4                  (24) Y_CO                  (25) Y_CO2                  (26) Y_HCO                  (27) Y_CH2O                  (28) Y_CH2OH                  (29) Y_N2
0         1.2559e-05         2.5118e-05        2.83923e-05             101325            1.13036        2.83923e-05            300.344                  0                  0                  0       9.48606e-322        1.52383e-08        3.15489e-17        3.09627e-12           0.222569        1.06669e-12        1.63848e-05        1.59478e-08        8.31087e-18        4.30345e-19        1.47005e-07          0.0446346        4.69646e-07         1.9289e-05        5.73473e-18        6.24673e-08        9.37575e-22            0.73276
1         3.7677e-05         2.5118e-05        2.83763e-05             101325            1.12972        2.83763e-05            300.513                  0        0.000169139        8.53892e-08            1.73916        2.38932e-08        5.47967e-17        3.71213e-12           0.222555        1.58754e-12        2.44578e-05        2.33394e-08        1.80939e-17        9.37505e-19        2.20657e-07          0.0446309        7.43749e-07        2.87349e-05         1.2545e-17        9.63719e-08        2.05029e-21            0.73276
2         6.2795e-05         2.5118e-05        2.83488e-05             101325            1.12863        2.83488e-05            300.804                  0        0.000243977        1.24663e-07              3.382        4.03921e-08        9.48593e-17        3.98761e-12            0.22253        2.49185e-12        3.84331e-05        3.56153e-08        4.54352e-17        2.35779e-18        3.49641e-07          0.0446245        1.27588e-06        4.50089e-05        3.17392e-17        1.59047e-07        5.19094e-21            0.73276
3        8.79131e-05         2.5118e-05        2.83021e-05             101325            1.12677        2.83021e-05              301.3                  0        0.000383775         2.0135e-07            7.78645        7.09778e-08        1.59324e-16         3.9463e-12           0.222488        4.06026e-12        6.23118e-05        5.59701e-08        1.21198e-16        6.30416e-18        5.72074e-07          0.0446135        2.27883e-06        7.26879e-05        8.55101e-17        2.72094e-07         1.4031e-20            0.73276
4        0.000113031         2.5118e-05        2.82265e-05             101325            1.12376        2.82265e-05            302.107                  0        0.000621478        3.42743e-07            19.2196        1.25429e-07        2.54765e-16        3.55497e-12            0.22242        6.68974e-12        0.000101251        8.82387e-08        3.25951e-16        1.70179e-17        9.38297e-07          0.0445956        4.09745e-06        0.000117575        2.32962e-16        4.67344e-07        3.85306e-20            0.73276
5        0.000138149         2.5118e-05        2.81085e-05             101325            1.11906        2.81085e-05            303.375                  0          0.0010075        6.03467e-07            48.2094        2.19987e-07        3.94365e-16        2.86813e-12           0.222312        1.10242e-11        0.000162709        1.37824e-07        8.64367e-16         4.5383e-17        1.52223e-06          0.0445673        7.31985e-06        0.000187943        6.28309e-16        7.95254e-07        1.05499e-19            0.73276
6        0.000163267         2.5118e-05        2.79298e-05             101325            1.11194        2.79298e-05            305.314                  0         0.00161409        1.09517e-06            119.472        3.80918e-07        6.29013e-16        2.03442e-12           0.222147        1.81258e-11        0.000257085        2.12157e-07        2.24245e-15        1.18719e-16        2.42854e-06          0.0445238        1.29241e-05        0.000295107        1.66654e-15        1.33345e-06         2.8715e-19            0.73276
7        0.000188385         2.5118e-05         2.7668e-05             101325            1.10152         2.7668e-05            308.201                  0         0.00254094        2.05557e-06            288.349        6.49564e-07        1.13472e-15        1.24605e-12             0.2219         2.9799e-11        0.000398345        3.21281e-07        5.68593e-15        3.04646e-16        3.80009e-06          0.0444585        2.24951e-05        0.000453898        4.34959e-15         2.1978e-06        7.80956e-19            0.73276
8        0.000213503         2.5118e-05        2.72967e-05             101325            1.08674        2.72967e-05            312.389                  0          0.0039202        4.00813e-06            672.724        1.08901e-06          2.425e-15        6.48807e-13            0.22154        4.92284e-11        0.000604499        4.78639e-07        1.41269e-14        7.69734e-16        5.82396e-06           0.044363        3.85249e-05        0.000682823        1.12189e-14        3.55549e-06        2.14318e-18            0.73276
9        0.000238621         2.5118e-05         2.6789e-05             101325            1.06652         2.6789e-05            318.304                  0         0.00591946        8.13887e-06             1511.1        1.79212e-06        5.89341e-15        2.84602e-13            0.22103        8.22907e-11        0.000897754        7.02218e-07        3.45591e-14        1.92633e-15        8.73421e-06          0.0442267        6.47961e-05         0.00100373        2.87907e-14        5.63871e-06        6.00884e-18            0.73276
