# Time 8.5e-05
# eta = 0.002
# length = 0.000953638
#--- 	  	 LEM Line data  --- 
#(1) wafer              (2) x             (3) dx              (4) m              (5) p            (6) rho              (7) m              (8) T              (9) Z             (10) C          (11) dCdt       (12) heatRel                  (13) Y_H2                  (14) Y_H                  (15) Y_O                  (16) Y_O2                  (17) Y_OH                  (18) Y_H2O                  (19) Y_HO2                  (20) Y_CH2                  (21) Y_CH2(S)                  (22) Y_CH3                  (23) Y_CH4                  (24) Y_CO                  (25) Y_CO2                  (26) Y_HCO                  (27) Y_CH2O                  (28) Y_CH2OH                  (29) Y_N2
0        1.25565e-05         2.5113e-05        2.84192e-05             101325            1.13165        2.84192e-05                300                  0                  0                  0          4.821e-12        3.26487e-15                  0        1.40755e-15           0.222598        8.44777e-15        1.09419e-11        2.01792e-14                  0                  0        7.71137e-14          0.0446421        1.02102e-13        1.31815e-11                  0        1.29455e-14                  0            0.73276
1        3.76696e-05         2.5113e-05        2.84192e-05             101325            1.13165        2.84192e-05                300                  0        1.10853e-10        6.34965e-10        0.000465183        1.37597e-14                  0        5.24714e-15           0.222598        3.21402e-14        4.53549e-11        8.44892e-14                  0                  0        3.21082e-13          0.0446421        4.30316e-13        5.46253e-11                  0          5.559e-14                  0            0.73276
2        6.27826e-05         2.5113e-05        2.84192e-05             101325            1.13165        2.84192e-05                300                  0        4.57619e-10        2.40539e-09         0.00176225        6.59391e-14        1.82931e-24        2.22223e-14           0.222598         1.3902e-13        2.13848e-10         4.0152e-13                  0                  0        1.52076e-12          0.0446421         2.0613e-12          2.575e-10                  0        2.70896e-13                  0            0.73276
3        8.78957e-05         2.5113e-05        2.84192e-05             101325            1.13165        2.84192e-05                300                  0        2.15846e-09        1.04099e-08         0.00762672         3.0873e-13         4.7918e-22        9.09321e-14           0.222598        5.83881e-13         9.8415e-10        1.85951e-12        1.50414e-21        8.28955e-23        7.03205e-12          0.0446421        9.64243e-12        1.18476e-09        9.25609e-22        1.28901e-12        1.76513e-25            0.73276
4        0.000113009         2.5113e-05        2.84192e-05             101325            1.13165        2.84192e-05                300                  0         9.9313e-09        4.37161e-08          0.0320312        1.39905e-12         6.5078e-21        3.54456e-13           0.222598        2.34944e-12        4.37744e-09        8.30888e-12        2.06864e-20         1.0797e-21        3.14421e-11          0.0446421        4.36322e-11        5.26845e-09        1.28578e-20        5.93446e-12        2.34823e-24            0.73276
5        0.000138122         2.5113e-05        2.84192e-05             101325            1.13165        2.84192e-05                300                  0        4.41622e-08        1.75877e-07            0.12889        6.12051e-12        7.74958e-20         1.3083e-12           0.222598        8.99225e-12        1.87659e-08        3.57074e-11        2.49233e-19        1.28288e-20          1.356e-10          0.0446421        1.90479e-10        2.25797e-08        1.55582e-19         2.6366e-11        2.79644e-23            0.73276
6        0.000163235         2.5113e-05        2.84191e-05             101325            1.13165        2.84191e-05            300.002                  0        1.89268e-07        6.73031e-07           0.493472         2.5784e-11        8.60945e-19        4.54113e-12           0.222598        3.25894e-11        7.73232e-08        1.47104e-10        2.82669e-18        1.45242e-19        5.62537e-10           0.044642        8.00134e-10         9.3011e-08        1.76802e-18        1.12749e-10        3.17027e-22            0.73276
7        0.000188348         2.5113e-05        2.84186e-05             101325            1.13163        2.84186e-05            300.007                  0        7.79618e-07        2.43887e-06            1.79092        1.04306e-10        8.87283e-18        1.46942e-11           0.222598        1.11013e-10        3.05281e-07        5.78798e-10        2.98777e-17        1.54427e-18        2.23836e-09          0.0446419        3.22473e-09        3.67105e-07        1.87074e-17        4.62744e-10        3.37194e-21            0.73276
8        0.000213461         2.5113e-05        2.84168e-05             101325            1.13156        2.84168e-05            300.025                  0        3.07697e-06        8.30913e-06            6.13024        4.03941e-10         8.4112e-17        4.38179e-11           0.222596        3.52192e-10        1.15088e-06         2.1657e-09        2.92876e-16        1.51562e-17        8.51466e-09          0.0446415         1.2429e-08        1.38349e-06        1.83857e-16        1.81691e-09        3.32016e-20            0.73276
9        0.000238574         2.5113e-05        2.84107e-05             101325            1.13131        2.84107e-05             300.09                  0        1.15955e-05        2.63941e-05            19.7543        1.49233e-09        7.16059e-16        1.18511e-10           0.222591        1.02867e-09        4.12652e-06        7.66766e-09        2.59712e-15        1.34569e-16        3.08481e-08          0.0446402         4.5648e-08        4.95872e-06        1.63659e-15        6.80035e-09        2.96586e-19            0.73276
10        0.000263687         2.5113e-05        2.83903e-05             101325             1.1305        2.83903e-05            300.305                  0        4.15594e-05         7.7487e-05            60.4825        5.23852e-09        5.33637e-15        2.84003e-10           0.222573        2.72287e-09        1.40077e-05         2.5534e-08        2.03113e-14        1.05479e-15        1.05976e-07          0.0446357        1.59096e-07        1.68257e-05        1.28735e-14        2.41625e-08        2.35242e-18            0.73276
