# Time 0.000505
# eta = 0.002
# length = 0.000503016
#--- 	  	 LEM Line data  --- 
#(1) wafer              (2) x             (3) dx              (4) m              (5) p            (6) rho              (7) m              (8) T              (9) Z             (10) C          (11) dCdt       (12) heatRel                  (13) Y_H2                  (14) Y_H                  (15) Y_O                  (16) Y_O2                  (17) Y_OH                  (18) Y_H2O                  (19) Y_HO2                  (20) Y_CH2                  (21) Y_CH2(S)                  (22) Y_CH3                  (23) Y_CH4                  (24) Y_CO                  (25) Y_CO2                  (26) Y_HCO                  (27) Y_CH2O                  (28) Y_CH2OH                  (29) Y_N2
0         1.2559e-05         2.5118e-05        2.83966e-05             101325            1.13053        2.83966e-05            300.297                  0                  0                  0                  0        1.24317e-08        2.93828e-17        3.38165e-12           0.222573        9.67483e-13        1.41393e-05        1.40762e-08        6.47344e-18        3.35058e-19        1.26067e-07          0.0446356         3.7879e-07        1.66814e-05        4.44717e-18         5.1917e-08        7.29311e-22            0.73276
1         3.7677e-05         2.5118e-05        2.83824e-05             101325            1.12997        2.83824e-05            300.448                  0        0.000146089        7.70882e-08            1.36224        1.96693e-08         5.1883e-17        4.08483e-12           0.222561        1.44319e-12         2.1315e-05        2.07816e-08        1.42865e-17        7.39988e-19         1.9112e-07          0.0446323        6.04872e-07        2.51013e-05        9.85704e-18        8.08913e-08         1.6163e-21            0.73276
2        6.27949e-05         2.5118e-05        2.83574e-05             101325            1.12897        2.83574e-05            300.712                  0        0.000212951        1.12664e-07             2.6787        3.36864e-08        9.21874e-17        4.45399e-12           0.222538        2.27602e-12        3.39965e-05         3.2145e-08        3.66099e-17        1.89907e-18        3.07388e-07          0.0446265        1.05011e-06        3.99197e-05        2.54318e-17        1.35434e-07        4.17371e-21            0.73276
3        8.79129e-05         2.5118e-05        2.83143e-05             101325            1.12725        2.83143e-05             301.17                  0        0.000340082        1.82419e-07            6.29172        5.99621e-08        1.59133e-16        4.49931e-12             0.2225        3.73112e-12        5.59635e-05         5.1228e-08        9.97717e-17        5.18703e-18         5.1065e-07          0.0446164        1.89792e-06        6.54845e-05        6.99424e-17        2.35051e-07        1.15162e-20            0.73276
4        0.000113031         2.5118e-05        2.82437e-05             101325            1.12444        2.82437e-05            301.923                  0        0.000559282        3.11419e-07            15.8869        1.07241e-07        2.60026e-16        4.15412e-12           0.222436        6.18903e-12        9.22306e-05        8.18104e-08        2.73952e-16        1.42965e-17        8.49501e-07          0.0445998        3.45069e-06        0.000107484        1.94369e-16         4.0914e-07         3.2257e-20            0.73276
5        0.000138149         2.5118e-05         2.8132e-05             101325               1.12         2.8132e-05            303.121                  0        0.000919788         5.4985e-07            40.7662        1.90216e-07         4.0518e-16        3.44487e-12           0.222334        1.02745e-11        0.000150141        1.29262e-07        7.41758e-16        3.89053e-17        1.39624e-06          0.0445732        6.23003e-06         0.00017414        5.34786e-16        7.04865e-07        9.00172e-20            0.73276
6        0.000163267         2.5118e-05         2.7961e-05             101325            1.11319         2.7961e-05            304.973                  0         0.00149312        1.00092e-06            103.262        3.32926e-07        6.34199e-16        2.51514e-12           0.222176        1.70237e-11         0.00024005        2.01015e-07          1.963e-15        1.03786e-16         2.2545e-06          0.0445317        1.11138e-05        0.000276852        1.44565e-15        1.19565e-06         2.4948e-19            0.73276
7        0.000188385         2.5118e-05        2.77077e-05             101325             1.1031        2.77077e-05             307.76                  0         0.00237915        1.88562e-06             254.45        5.73665e-07        1.09853e-15         1.5847e-12           0.221938        2.82059e-11        0.000375995        3.07145e-07        5.07341e-15        2.71384e-16        3.56727e-06           0.044469        1.95426e-05        0.000430735         3.8425e-15        1.99234e-06        6.90267e-19            0.73276
8        0.000213503         2.5118e-05        2.73448e-05             101325            1.08865        2.73448e-05            311.841                  0         0.00371172        3.69495e-06            605.273        9.71593e-07        2.26997e-15        8.48261e-13           0.221589        4.69629e-11        0.000576226        4.61152e-07        1.28384e-14        6.98169e-16        5.52377e-06          0.0443764        3.38115e-05        0.000654861        1.00864e-14         3.2567e-06        1.92579e-18            0.73276
9        0.000238621         2.5118e-05         2.6844e-05             101325            1.06872         2.6844e-05            317.653                  0         0.00566212        7.55374e-06            1384.12        1.61489e-06        5.46365e-15        3.81331e-13           0.221088        7.90897e-11        0.000863385        6.81078e-07        3.19472e-14        1.77689e-15        8.36284e-06          0.0442432         5.7452e-05        0.000971952        2.63127e-14        5.21585e-06        5.48456e-18            0.73276
