# Time 0.000255
# eta = 0.002
# length = 0.000812054
#--- 	  	 LEM Line data  --- 
#(1) wafer              (2) x             (3) dx              (4) m              (5) p            (6) rho              (7) m              (8) T              (9) Z             (10) C          (11) dCdt       (12) heatRel                  (13) Y_H2                  (14) Y_H                  (15) Y_O                  (16) Y_O2                  (17) Y_OH                  (18) Y_H2O                  (19) Y_HO2                  (20) Y_CH2                  (21) Y_CH2(S)                  (22) Y_CH3                  (23) Y_CH4                  (24) Y_CO                  (25) Y_CO2                  (26) Y_HCO                  (27) Y_CH2O                  (28) Y_CH2OH                  (29) Y_N2
0        1.25584e-05        2.51167e-05        2.84227e-05             101325            1.13162        2.84227e-05            300.007                  0                  0                  0                  0        1.54472e-10         4.4212e-19        2.13531e-12           0.222598         1.7689e-12        3.30569e-07        4.96765e-10        2.67658e-19        1.38392e-20        2.68278e-09          0.0446419        4.50829e-09        3.95923e-07        1.71311e-19        7.28175e-10        2.99178e-23            0.73276
1        3.76751e-05        2.51167e-05         2.8422e-05             101325             1.1316         2.8422e-05            300.014                  0        3.41583e-06        1.36126e-07           0.105481         3.1883e-10        1.44979e-18        3.42759e-12           0.222597         2.9869e-12        6.62663e-07        9.69713e-10        9.27829e-19        4.80742e-20        5.41034e-09          0.0446418        9.27484e-09        7.93341e-07        5.95394e-19        1.50351e-09        1.03901e-22            0.73276
2        6.27918e-05        2.51167e-05        2.84203e-05             101325            1.13153        2.84203e-05            300.033                  0         6.7095e-06         2.2456e-07            0.17915        7.58405e-10        5.84914e-18        5.93671e-12           0.222595        5.54983e-12        1.52338e-06        2.15984e-09        3.99992e-18        2.07417e-19        1.25244e-08          0.0446414         2.1989e-08        1.82287e-06         2.5752e-18         3.5756e-09        4.48087e-22            0.73276
3        8.79085e-05        2.51167e-05        2.84162e-05             101325            1.13137        2.84162e-05            300.076                  0        1.54657e-05        4.19064e-07           0.357922        1.82735e-09        2.33084e-17        1.01939e-11           0.222592        1.03495e-11        3.54362e-06        4.86241e-09        1.72027e-17        8.88875e-19        2.93374e-08          0.0446405        5.28358e-08        4.23793e-06        1.11172e-17        8.60581e-09         1.9264e-21            0.73276
4        0.000113025        2.51167e-05        2.84071e-05             101325              1.131        2.84071e-05            300.172                  0        3.59705e-05        7.84462e-07           0.772188        4.31004e-09        8.52252e-17         1.6523e-11           0.222584        1.85081e-11        8.04756e-06        1.06626e-08        6.87433e-17        3.55322e-18        6.71115e-08          0.0446384        1.24345e-07         9.6183e-06        4.46048e-17        2.02551e-08        7.72114e-21            0.73276
5        0.000138142        2.51167e-05        2.83876e-05             101325            1.13023        2.83876e-05            300.378                  0        8.16284e-05        1.41335e-06            1.82008         9.8858e-09        2.79105e-16        2.46564e-11           0.222567        3.12302e-11        1.77049e-05        2.25813e-08        2.51075e-16        1.29978e-17        1.48793e-07           0.044634        2.84766e-07        2.11451e-05        1.63732e-16        4.63048e-08        2.83894e-20            0.73276
6        0.000163259        2.51167e-05        2.83477e-05             101325            1.12864        2.83477e-05            300.801                  0         0.00017942         2.4242e-06            4.84054        2.20137e-08         8.0493e-16        3.31649e-11           0.222532        4.92592e-11         3.7639e-05        4.60522e-08        8.30289e-16        4.30492e-17        3.18954e-07          0.0446249        6.33682e-07        4.49138e-05        5.45316e-16         1.0262e-07        9.49656e-20            0.73276
7        0.000188375        2.51167e-05        2.82689e-05             101325             1.1255        2.82689e-05            301.639                  0        0.000381046        3.95534e-06            14.4272        4.75498e-08        2.00206e-15        3.92311e-11           0.222462        7.21063e-11        7.71881e-05        9.02729e-08        2.46102e-15        1.28058e-16        6.59957e-07          0.0446069        1.36938e-06        9.20116e-05        1.63304e-15        2.20206e-07        2.87824e-19            0.73276
8        0.000213492        2.51167e-05        2.81208e-05             101325             1.1196        2.81208e-05            303.227                  0        0.000780579        6.17774e-06            45.9121        9.95418e-08        4.21734e-15         3.9579e-11           0.222329        9.76618e-11        0.000152418        1.69798e-07         6.5052e-15        3.40977e-16        1.31582e-06          0.0445726        2.87227e-06         0.00018146        4.38456e-15        4.56955e-07        7.93105e-19            0.73276
9        0.000238609        2.51167e-05        2.78564e-05             101325            1.10908        2.78564e-05            306.105                  0         0.00153957        9.37276e-06            147.956        2.01738e-07        7.48306e-15        3.28523e-11           0.222087        1.23516e-10        0.000289173        3.05986e-07        1.54645e-14          8.208e-16        2.52284e-06          0.0445102        5.84354e-06        0.000343737        1.06849e-14        9.15543e-07         2.0303e-18            0.73276
