# Time 0.000635
# eta = 0.002
# length = 0.00032944
#--- 	  	 LEM Line data  --- 
#(1) wafer              (2) x             (3) dx              (4) m              (5) p            (6) rho              (7) m              (8) T              (9) Z             (10) C          (11) dCdt       (12) heatRel                  (13) Y_H2                  (14) Y_H                  (15) Y_O                  (16) Y_O2                  (17) Y_OH                  (18) Y_H2O                  (19) Y_HO2                  (20) Y_CH2                  (21) Y_CH2(S)                  (22) Y_CH3                  (23) Y_CH4                  (24) Y_CO                  (25) Y_CO2                  (26) Y_HCO                  (27) Y_CH2O                  (28) Y_CH2OH                  (29) Y_N2
0        1.25591e-05        2.51182e-05        2.83642e-05             101325            1.12923        2.83642e-05            300.643                  0                  0                  0         5.0262e-12        3.90964e-08        3.47561e-17        1.61861e-12           0.222544        1.87904e-12        3.09075e-05        2.71739e-08        2.82928e-17        1.46721e-18        2.86008e-07          0.0446279        1.29294e-06        3.58328e-05        2.00596e-17        1.43465e-07        3.21492e-21            0.73276
1        3.76773e-05        2.51182e-05         2.8338e-05             101325            1.12819         2.8338e-05            300.921                  0        0.000316789        1.54935e-07            5.19023        5.89405e-08        5.72319e-17        1.88554e-12            0.22252        2.71666e-12        4.43323e-05        3.84207e-08        5.70126e-17        2.96002e-18        4.12174e-07          0.0446217        1.97198e-06         5.1237e-05        4.06987e-17        2.12329e-07        6.52216e-21            0.73276
2        6.27955e-05        2.51182e-05        2.82971e-05             101325            1.12656        2.82971e-05            301.356                  0        0.000437856        2.21218e-07            9.56714        9.39546e-08        9.16469e-17        1.91213e-12           0.222483        4.06617e-12        6.54393e-05        5.54595e-08        1.27699e-16        6.64258e-18        6.12904e-07           0.044612        3.19845e-06        7.52398e-05        9.21508e-17        3.29084e-07        1.47742e-20            0.73276
3        8.79136e-05        2.51182e-05        2.82319e-05             101325            1.12396        2.82319e-05            302.051                  0        0.000645979         3.4477e-07            20.0595        1.55429e-07        1.44633e-16        1.74608e-12           0.222424        6.28812e-12         9.9322e-05        8.21347e-08        3.02098e-16        1.57647e-17        9.37915e-07          0.0445963        5.39218e-06        0.000113464        2.21024e-16        5.27667e-07        3.55767e-20            0.73276
4        0.000113032        2.51182e-05        2.81322e-05             101325            1.11999        2.81322e-05             303.12                  0        0.000977971        5.65741e-07            44.5232        2.59337e-07        2.29703e-16         1.4257e-12           0.222333        9.83957e-12        0.000151653         1.2246e-07        7.24337e-16        3.79748e-17        1.44395e-06          0.0445721        9.17125e-06        0.000171968        5.38991e-16        8.52596e-07        8.75985e-20            0.73276
5         0.00013815        2.51182e-05        2.79846e-05             101325            1.11412        2.79846e-05            304.718                  0         0.00148775         9.6326e-07            100.468        4.30699e-07        3.86262e-16        1.02936e-12           0.222196        1.54362e-11        0.000230228        1.81907e-07        1.72491e-15        9.10445e-17        2.20971e-06          0.0445357        1.55274e-05        0.000258879        1.31061e-15        1.37052e-06        2.16903e-19            0.73276
6        0.000163268        2.51182e-05         2.7772e-05             101325            1.10565         2.7772e-05            307.048                  0         0.00224835        1.69468e-06             225.13        7.07654e-07        7.24483e-16        6.49587e-13           0.221995        2.42335e-11        0.000345442        2.67822e-07        4.04833e-15        2.15735e-16        3.34099e-06          0.0444822        2.60101e-05        0.000384725        3.15694e-15        2.17848e-06        5.38351e-19            0.73276
7        0.000188386        2.51182e-05        2.74745e-05             101325            1.09381        2.74745e-05             310.37                  0         0.00335573        3.08325e-06             494.54        1.14674e-06        1.52665e-15        3.53793e-13           0.221709        3.81628e-11        0.000510748        3.90018e-07        9.35348e-15        5.05119e-16        4.97549e-06          0.0444052        4.29735e-05        0.000562651        7.53458e-15        3.41375e-06        1.34517e-18            0.73276
8        0.000213505        2.51182e-05        2.70699e-05             101325             1.0777        2.70699e-05            315.002                  0         0.00493184        5.81045e-06             1057.7        1.82917e-06        3.49293e-15         1.6496e-13           0.221307        6.06166e-11        0.000742993        5.61602e-07        2.13396e-14        1.17326e-15        7.28623e-06          0.0442968        6.98845e-05        0.000808406        1.78996e-14        5.26441e-06        3.41469e-18            0.73276
9        0.000238623        2.51182e-05        2.65367e-05             101325            1.05647        2.65367e-05            321.322                  0         0.00712616        1.13557e-05             2194.9        2.86753e-06        8.37795e-15          6.572e-14           0.220757        9.77897e-11         0.00106254        8.00214e-07        4.83168e-14        2.71944e-15        1.04822e-05          0.0441471        0.000111669         0.00114001        4.26066e-14        7.97897e-06        8.90525e-18            0.73276
10        0.000263741        2.51182e-05        2.58568e-05             101325            1.02941        2.58568e-05            329.756                  0          0.0101148        2.30189e-05            4413.05        4.41148e-06        2.07262e-14        2.28932e-14           0.220018        1.61364e-10         0.00149304        1.12989e-06        1.09164e-13        6.32831e-15        1.48052e-05          0.0439448        0.000175046         0.00157701        1.02312e-13        1.18724e-05        2.41172e-17            0.73276
11        0.000288859        2.51182e-05        2.50203e-05             101325           0.996103        2.50203e-05            340.759                  0          0.0140959        4.83598e-05            8596.09        6.65097e-06        5.26663e-14          8.334e-15           0.219048        2.73719e-10         0.00206079        1.58381e-06        2.47079e-13        1.48452e-14        2.05218e-05          0.0436771        0.000268756         0.00213941        2.49076e-13        1.73255e-05        6.83085e-17            0.73276
12        0.000313977        2.51182e-05        2.40283e-05             101325           0.956611        2.40283e-05            354.794                  0          0.0192824         0.00010505            16237.5        9.81454e-06        1.37176e-13        7.32617e-15           0.217801        4.77898e-10         0.00279373        2.20805e-06        5.60762e-13        3.51204e-14        2.79112e-05          0.0433304        0.000403593         0.00284632        6.15558e-13        2.47749e-05        2.02517e-16            0.73276
13        0.000339095        2.51182e-05        2.28957e-05             101325           0.911518        2.28957e-05            372.298                  0          0.0258905        0.000234851            29798.8        1.41617e-05        3.64353e-13        2.02599e-14           0.216233         8.5587e-10         0.00372002        3.06651e-06        1.27271e-12        8.34612e-14        3.72514e-05          0.0428906        0.000592143         0.00371466        1.53974e-12        3.46929e-05        6.24355e-16            0.73276
14        0.000364214        2.51182e-05        2.16498e-05             101325           0.861917        2.16498e-05            393.654                  0          0.0341279        0.000536281            53268.2        1.99695e-05        9.78549e-13        7.67672e-14           0.214302        1.55976e-09         0.00486661        4.24673e-06        2.87111e-12        1.97644e-13        4.88049e-05          0.0423444        0.000848208         0.00475817        3.87165e-12        4.75589e-05        1.97591e-15            0.73276
15        0.000389332        2.51182e-05        2.03274e-05             101325           0.809268        2.03274e-05            419.169                  0          0.0441828         0.00123787            93050.7        2.75147e-05        2.63506e-12        3.16185e-13            0.21197        2.86112e-09         0.00625797        5.86622e-06        6.38704e-12         4.6163e-13        6.28107e-05          0.0416793           0.001186         0.00598699         9.6998e-12        6.38282e-05        6.31921e-15            0.73276
16         0.00041445        2.51182e-05        1.89689e-05             101325           0.755185        1.89689e-05            449.059                  0          0.0562155         0.00285352             159413        3.70573e-05        7.08123e-12        1.35695e-12           0.209204        5.22012e-09          0.0079153        8.07893e-06        1.39008e-11        1.05246e-12        7.94825e-05          0.0408848         0.00161927         0.00740781        2.40045e-11         8.3904e-05        2.01483e-14            0.73276
17        0.000439568        2.51182e-05        1.76133e-05             101325           0.701216        1.76133e-05            483.447                  0          0.0703561         0.00648834             268865        4.88264e-05        1.90432e-11        5.92911e-12            0.20598        9.37415e-09          0.0098562        1.10812e-05        2.94323e-11        2.32355e-12         9.9015e-05          0.0399516         0.00216058         0.00902463         5.8333e-11        0.000108119        6.36553e-14            0.73276
