# Time 0.000675
# eta = 0.002
# length = 0.000275226
#--- 	  	 LEM Line data  --- 
#(1) wafer              (2) x             (3) dx              (4) m              (5) p            (6) rho              (7) m              (8) T              (9) Z             (10) C          (11) dCdt       (12) heatRel                  (13) Y_H2                  (14) Y_H                  (15) Y_O                  (16) Y_O2                  (17) Y_OH                  (18) Y_H2O                  (19) Y_HO2                  (20) Y_CH2                  (21) Y_CH2(S)                  (22) Y_CH3                  (23) Y_CH4                  (24) Y_CO                  (25) Y_CO2                  (26) Y_HCO                  (27) Y_CH2O                  (28) Y_CH2OH                  (29) Y_N2
0        1.25591e-05        2.51182e-05        2.83529e-05             101325            1.12878        2.83529e-05            300.764                  0                  0                  0        8.20541e-12        5.18593e-08         3.3159e-17        1.20412e-12           0.222533        2.24255e-12        3.68306e-05        3.14437e-08        4.05443e-17        2.10363e-18        3.44065e-07          0.0446251        1.76026e-06        4.24006e-05         2.9066e-17        1.82675e-07        4.62003e-21            0.73276
1        3.76773e-05        2.51182e-05        2.83228e-05             101325            1.12758        2.83228e-05            301.082                  0        0.000376193        1.87124e-07            7.08641        7.72998e-08        5.43185e-17        1.39249e-12           0.222506        3.20913e-12        5.22955e-05        4.40772e-08        7.98521e-17        4.14859e-18         4.9063e-07           0.044618        2.65411e-06        5.99934e-05        5.76656e-17        2.67335e-07        9.16815e-21            0.73276
2        6.27956e-05        2.51182e-05        2.82773e-05             101325            1.12577        2.82773e-05            301.567                  0        0.000514302        2.65121e-07            12.8606        1.21071e-07        8.67487e-17        1.39185e-12           0.222465         4.7235e-12        7.59234e-05        6.27108e-08        1.72694e-16        8.99123e-18        7.17122e-07          0.0446071        4.22944e-06        8.65865e-05         1.2617e-16         4.0705e-07        2.00755e-20            0.73276
3        8.79138e-05        2.51182e-05        2.82061e-05             101325            1.12293        2.82061e-05            302.327                  0        0.000745872        4.07922e-07            26.2414        1.96572e-07        1.38609e-16        1.24571e-12             0.2224        7.17228e-12        0.000113161        9.13922e-08        3.93549e-16        2.05598e-17        1.07695e-06          0.0445899        6.99762e-06        0.000128108        2.91803e-16        6.40418e-07        4.66339e-20            0.73276
4        0.000113032        2.51182e-05         2.8099e-05             101325            1.11867         2.8099e-05            303.479                  0         0.00110832        6.60374e-07            56.4489         3.2208e-07        2.28192e-16        9.92289e-13           0.222301        1.10262e-11        0.000169792         1.3416e-07        9.10312e-16        4.77921e-17        1.62811e-06          0.0445636        1.16851e-05        0.000190599        6.87212e-16        1.01606e-06         1.1097e-19            0.73276
5         0.00013815        2.51182e-05        2.79427e-05             101325            1.11245        2.79427e-05            305.175                  0         0.00165601        1.11026e-06            123.446        5.25677e-07        4.05087e-16        6.96743e-13           0.222156         1.7018e-11         0.00025366        1.96472e-07        2.09704e-15        1.10878e-16        2.44982e-06          0.0445247         1.9434e-05        0.000282042        1.61818e-15        1.60553e-06        2.66352e-19            0.73276
6        0.000163268        2.51182e-05        2.77207e-05             101325            1.10361        2.77207e-05            307.616                  0         0.00246148        1.93051e-06            268.515        8.49366e-07        7.97241e-16        4.26962e-13           0.221945        2.63252e-11        0.000375109        2.85622e-07        4.77468e-15        2.54977e-16        3.64705e-06          0.0444681        3.19926e-05        0.000412628        3.78502e-15        2.51127e-06        6.42775e-19            0.73276
7        0.000188387        2.51182e-05        2.74137e-05             101325            1.09139        2.74137e-05            311.057                  0         0.00361889        3.47209e-06             573.82        1.35425e-06        1.71698e-15        2.25882e-13           0.221647         4.0914e-11        0.000547407        4.11319e-07        1.07329e-14        5.81025e-16        5.35473e-06          0.0443877        5.19637e-05        0.000594933        8.79633e-15        3.87591e-06        1.56598e-18            0.73276
8        0.000213505        2.51182e-05        2.70009e-05             101325            1.07495        2.70009e-05            315.805                  0         0.00524672        6.46588e-06            1196.77        2.12652e-06        3.91924e-15        1.02533e-13           0.221234        6.42332e-11        0.000787065         5.8654e-07        2.38893e-14          1.317e-15        7.74067e-06          0.0442755        8.31033e-05        0.000843893        2.04005e-14        5.89196e-06        3.88528e-18            0.73276
9        0.000238623        2.51182e-05        2.64619e-05             101325             1.0535        2.64619e-05            322.226                  0         0.00748915        1.24792e-05            2427.78        3.28347e-06        9.26868e-15        3.99821e-14           0.220673        1.02563e-10         0.00111395        8.28792e-07        5.29103e-14        2.98642e-15        1.10059e-05          0.0441219        0.000130644          0.0011765        4.75174e-14        8.81011e-06        9.92242e-18            0.73276
10        0.000263741        2.51182e-05        2.57803e-05             101325            1.02636        2.57803e-05             330.73                  0          0.0105153        2.49674e-05            4783.84        4.97842e-06        2.25345e-14        1.38868e-14           0.219926        1.67688e-10         0.00155111          1.162e-06        1.17219e-13        6.81406e-15        1.53819e-05           0.043916        0.000201586         0.00161117        1.11886e-13         1.2944e-05        2.63508e-17            0.73276
