# Time 0.000495
# eta = 0.002
# length = 0.000516152
#--- 	  	 LEM Line data  --- 
#(1) wafer              (2) x             (3) dx              (4) m              (5) p            (6) rho              (7) m              (8) T              (9) Z             (10) C          (11) dCdt       (12) heatRel                  (13) Y_H2                  (14) Y_H                  (15) Y_O                  (16) Y_O2                  (17) Y_OH                  (18) Y_H2O                  (19) Y_HO2                  (20) Y_CH2                  (21) Y_CH2(S)                  (22) Y_CH3                  (23) Y_CH4                  (24) Y_CO                  (25) Y_CO2                  (26) Y_HCO                  (27) Y_CH2O                  (28) Y_CH2OH                  (29) Y_N2
0         1.2559e-05         2.5118e-05        2.83987e-05             101325            1.13061        2.83987e-05            300.275                  0                  0                  0       6.35734e-310        1.11778e-08        2.81267e-17        3.51995e-12           0.222575        9.25966e-13         1.3073e-05        1.31695e-08        5.71374e-18        2.95685e-19        1.16189e-07          0.0446361         3.3874e-07         1.5439e-05        3.91656e-18        4.71004e-08         6.4332e-22            0.73276
1        3.76769e-05         2.5118e-05        2.83854e-05             101325            1.13008        2.83854e-05            300.416                  0        0.000135127        7.36163e-08            1.19848        1.77708e-08        5.01245e-17        4.26956e-12           0.222563        1.38156e-12        1.98128e-05        1.95359e-08         1.2688e-17        6.57149e-19        1.77091e-07           0.044633        5.43313e-07        2.33579e-05        8.73275e-18         7.3777e-08        1.43446e-21            0.73276
2        6.27949e-05         2.5118e-05        2.83616e-05             101325            1.12914        2.83616e-05            300.668                  0        0.000198088        1.07546e-07            2.36989        3.06447e-08        9.03751e-17        4.69373e-12           0.222542        2.18136e-12        3.18526e-05        3.04395e-08        3.28255e-17        1.70239e-18        2.87097e-07          0.0446275        9.49171e-07        3.74494e-05        2.27398e-17        1.24469e-07        3.73822e-21            0.73276
3        8.79128e-05         2.5118e-05        2.83203e-05             101325            1.12749        2.83203e-05            301.106                  0        0.000318911        1.74138e-07             5.6237         5.4917e-08        1.58459e-16        4.79474e-12           0.222505        3.58238e-12        5.28584e-05        4.88734e-08        9.03525e-17        4.69597e-18        4.80789e-07          0.0446179        1.72608e-06        6.19415e-05         6.3138e-17        2.17662e-07        1.04132e-20            0.73276
4        0.000113031         2.5118e-05        2.82522e-05             101325            1.12478        2.82522e-05            301.831                  0        0.000528758        2.97338e-07            14.3674        9.88331e-08        2.62385e-16        4.48616e-12           0.222444        5.95656e-12        8.77663e-05        7.85865e-08        2.50574e-16        1.30708e-17        8.05816e-07          0.0446018         3.1563e-06        0.000102454        1.77138e-16        3.81532e-07        2.94409e-20            0.73276
5        0.000138149         2.5118e-05        2.81438e-05             101325            1.12047        2.81438e-05            302.993                  0          0.0008762        5.25172e-07            37.3044        1.76327e-07        4.11495e-16        3.77533e-12           0.222345        9.91738e-12        0.000143854         1.2493e-07        6.85159e-16        3.59175e-17        1.33355e-06          0.0445761        5.72946e-06        0.000167173        4.91961e-16        6.61569e-07        8.29072e-20            0.73276
6        0.000163267         2.5118e-05        2.79769e-05             101325            1.11382        2.79769e-05              304.8                  0         0.00143228        9.56589e-07            95.5783        3.10334e-07        6.39981e-16        2.79926e-12           0.222191        1.64867e-11        0.000231442        1.95332e-07        1.83103e-15         9.6742e-17        2.16698e-06          0.0445357        1.02747e-05        0.000267524        1.34231e-15        1.12903e-06        2.31815e-19            0.73276
7        0.000188385         2.5118e-05         2.7728e-05             101325            1.10391         2.7728e-05            307.534                  0         0.00229689        1.80419e-06            238.091        5.37611e-07        1.08659e-15        1.79112e-12           0.221958        2.74153e-11        0.000364601        2.99886e-07        4.77814e-15        2.55371e-16        3.44902e-06          0.0444743         1.8161e-05        0.000418758        3.60067e-15        1.89212e-06        6.46927e-19            0.73276
8        0.000213503         2.5118e-05        2.73697e-05             101325            1.08965        2.73697e-05            311.557                  0         0.00360462        3.54251e-06            572.176        9.15301e-07        2.20042e-15        9.72926e-13           0.221614        4.58187e-11        0.000561702        4.52122e-07        1.22046e-14        6.63029e-16        5.36984e-06          0.0443832        3.15841e-05         0.00064023         9.5361e-15        3.10969e-06        1.81999e-18            0.73276
9        0.000238621         2.5118e-05        2.68727e-05             101325            1.06986        2.68727e-05            317.314                  0         0.00552865        7.26438e-06            1320.85        1.52913e-06        5.25581e-15        4.43143e-13           0.221118        7.74508e-11        0.000845613        6.70105e-07        3.06394e-14        1.70222e-15        8.17065e-06          0.0442516        5.39463e-05        0.000955118        2.50889e-14        5.00606e-06        5.22521e-18            0.73276
