# Time 0.000615
# eta = 0.002
# length = 0.000356426
#--- 	  	 LEM Line data  --- 
#(1) wafer              (2) x             (3) dx              (4) m              (5) p            (6) rho              (7) m              (8) T              (9) Z             (10) C          (11) dCdt       (12) heatRel                  (13) Y_H2                  (14) Y_H                  (15) Y_O                  (16) Y_O2                  (17) Y_OH                  (18) Y_H2O                  (19) Y_HO2                  (20) Y_CH2                  (21) Y_CH2(S)                  (22) Y_CH3                  (23) Y_CH4                  (24) Y_CO                  (25) Y_CO2                  (26) Y_HCO                  (27) Y_CH2O                  (28) Y_CH2OH                  (29) Y_N2
0        1.25591e-05        2.51182e-05        2.83697e-05             101325            1.12945        2.83697e-05            300.585                  0                  0                  0       5.11713e-310         3.3582e-08         3.5154e-17        1.85553e-12           0.222549        1.70723e-12        2.80466e-05        2.50569e-08        2.32316e-17        1.20444e-18        2.58209e-07          0.0446292        1.09602e-06        3.26211e-05        1.63834e-17        1.25795e-07        2.63619e-21            0.73276
1        3.76772e-05        2.51182e-05        2.83454e-05             101325            1.12848        2.83454e-05            300.842                  0        0.000287916        1.39956e-07             4.3743        5.09396e-08        5.81985e-17        2.17043e-12           0.222527        2.48193e-12        4.04626e-05        3.56027e-08        4.74112e-17        2.46072e-18        3.74348e-07          0.0446235        1.68188e-06        4.69252e-05        3.36546e-17        1.87348e-07        5.41418e-21            0.73276
2        6.27954e-05        2.51182e-05        2.83069e-05             101325            1.12695        2.83069e-05            301.251                  0        0.000400439        2.00688e-07            8.13229        8.19706e-08        9.37924e-17        2.21915e-12           0.222492         3.7483e-12        6.02883e-05        5.18141e-08        1.08248e-16        5.62833e-18        5.62034e-07          0.0446144         2.7534e-06        6.95808e-05        7.76385e-17        2.93208e-07        1.24944e-20            0.73276
3        8.79136e-05        2.51182e-05        2.82448e-05             101325            1.12448        2.82448e-05            301.912                  0        0.000596494        3.14947e-07            17.3067        1.36955e-07        1.48092e-16        2.04979e-12           0.222436        5.85322e-12        9.24328e-05        7.74274e-08        2.61321e-16        1.36292e-17        8.69039e-07          0.0445995        4.68754e-06        0.000106045        1.89916e-16        4.75002e-07        3.06793e-20            0.73276
4        0.000113032        2.51182e-05        2.81491e-05             101325            1.12067        2.81491e-05            302.938                  0        0.000912455        5.20518e-07            39.0728        2.30711e-07        2.32457e-16        1.69748e-12           0.222348        9.24562e-12        0.000142501        1.16437e-07        6.38813e-16        3.34669e-17        1.35128e-06          0.0445764        8.04916e-06        0.000162366        4.71897e-16        7.75076e-07        7.69428e-20            0.73276
5         0.00013815        2.51182e-05        2.80062e-05             101325            1.11498        2.80062e-05            304.483                  0         0.00140189        8.92119e-07            89.6798        3.86677e-07         3.8108e-16        1.24541e-12           0.222216        1.46315e-11        0.000218254        1.74314e-07        1.54874e-15        8.16721e-17        2.08703e-06          0.0445413        1.37544e-05        0.000246734        1.16751e-15        1.25742e-06        1.93744e-19            0.73276
6        0.000163268        2.51182e-05        2.77989e-05             101325            1.10672        2.77989e-05            306.752                  0         0.00213797        1.57907e-06            204.219        6.40946e-07        6.94397e-16        7.99338e-13           0.222021        2.31533e-11        0.000330107        2.58429e-07        3.69505e-15        1.96691e-16        3.18229e-06          0.0444895        2.32497e-05        0.000369843         2.8572e-15        2.01604e-06        4.88228e-19            0.73276
7        0.000188386        2.51182e-05        2.75067e-05             101325            1.09509        2.75067e-05            310.007                  0         0.00321752        2.89002e-06            455.364        1.04756e-06        1.43824e-15        4.42737e-13           0.221741        3.67231e-11        0.000491607        3.78642e-07        8.66589e-15        4.67379e-16        4.77606e-06          0.0444144        3.87573e-05        0.000545135        6.91849e-15        3.18507e-06        1.23679e-18            0.73276
8        0.000213504        2.51182e-05        2.71069e-05             101325            1.07917        2.71069e-05            314.574                  0         0.00476432        5.48012e-06            987.349        1.68493e-06        3.28332e-15        2.09694e-13           0.221346        5.87024e-11        0.000719789        5.48125e-07          2.004e-14        1.10021e-15          7.044e-06           0.044308        6.35851e-05        0.000788808         1.6653e-14        4.94984e-06        3.17899e-18            0.73276
9        0.000238623        2.51182e-05        2.65771e-05             101325            1.05808        2.65771e-05            320.836                  0         0.00693077        1.07814e-05            2074.49        2.66279e-06        7.92544e-15        8.46474e-14           0.220801        9.52381e-11         0.00103529        7.84586e-07        4.59279e-14          2.581e-15        1.01994e-05          0.0441604        0.000102484         0.00111946        4.01129e-14         7.5571e-06        8.38612e-18            0.73276
