# Time 0.000515
# eta = 0.002
# length = 0.000489843
#--- 	  	 LEM Line data  --- 
#(1) wafer              (2) x             (3) dx              (4) m              (5) p            (6) rho              (7) m              (8) T              (9) Z             (10) C          (11) dCdt       (12) heatRel                  (13) Y_H2                  (14) Y_H                  (15) Y_O                  (16) Y_O2                  (17) Y_OH                  (18) Y_H2O                  (19) Y_HO2                  (20) Y_CH2                  (21) Y_CH2(S)                  (22) Y_CH3                  (23) Y_CH4                  (24) Y_CO                  (25) Y_CO2                  (26) Y_HCO                  (27) Y_CH2O                  (28) Y_CH2OH                  (29) Y_N2
0         1.2559e-05         2.5118e-05        2.83945e-05             101325            1.13044        2.83945e-05             300.32                  0                  0                  0                  0        1.37838e-08         3.0526e-17        3.24001e-12           0.222571        1.01454e-12        1.52437e-05        1.50028e-08        7.33652e-18        3.79809e-19        1.36342e-07          0.0446351        4.22358e-07        1.79654e-05        5.05122e-18        5.70376e-08        8.27093e-22            0.73276
1         3.7677e-05         2.5118e-05        2.83794e-05             101325            1.12984        2.83794e-05             300.48                  0        0.000157432        8.10228e-08            1.54222        2.17083e-08        5.34419e-17         3.8986e-12           0.222558        1.51206e-12         2.2864e-05        2.20501e-08         1.6084e-17        8.33223e-19        2.05647e-07          0.0446316        6.71593e-07        2.68946e-05        1.11243e-17        8.84212e-08        1.82108e-21            0.73276
2         6.2795e-05         2.5118e-05        2.83532e-05             101325             1.1288        2.83532e-05            300.758                  0        0.000228255        1.18383e-07            3.01571        3.69334e-08        9.36805e-17        4.21833e-12           0.222534        2.37986e-12        3.61909e-05         3.3871e-08        4.08092e-17        2.11727e-18        3.28245e-07          0.0446255        1.15889e-06        4.24409e-05         2.8428e-17        1.46959e-07        4.65732e-21            0.73276
3         8.7913e-05         2.5118e-05        2.83083e-05             101325            1.12701        2.83083e-05            301.235                  0        0.000361715        1.91514e-07            7.01222        6.53133e-08         1.5941e-16        4.21649e-12           0.222494        3.89086e-12         5.9116e-05        5.35944e-08        1.10054e-16        5.72283e-18        5.41091e-07           0.044615        2.08202e-06        6.90685e-05        7.73982e-17        2.53196e-07        1.27214e-20            0.73276
4        0.000113031         2.5118e-05        2.82351e-05             101325             1.1241        2.82351e-05            302.015                  0        0.000590203        3.26587e-07            17.5041        1.16104e-07        2.57461e-16        3.84417e-12           0.222428        6.43413e-12        9.67271e-05        8.50286e-08         2.9915e-16        1.56125e-17         8.9368e-07          0.0445977        3.76423e-06        0.000112526        2.13028e-16        4.37748e-07        3.52878e-20            0.73276
5        0.000138149         2.5118e-05        2.81202e-05             101325            1.11952        2.81202e-05            303.248                  0        0.000963574        5.76002e-07            44.4019        2.04768e-07        3.99453e-16        3.14334e-12           0.222323        1.06443e-11        0.000156428        1.33561e-07        8.01541e-16        4.20623e-17        1.45915e-06          0.0445702        6.75998e-06        0.000181066        5.80261e-16        7.49438e-07        9.75515e-20            0.73276
6        0.000163267         2.5118e-05        2.79453e-05             101325            1.11256        2.79453e-05            305.144                  0         0.00155374        1.04718e-06             111.23        3.56456e-07        6.30569e-16        2.26131e-12           0.222162         1.7571e-11        0.000248599        2.06624e-07        2.10029e-15        1.11117e-16        2.34171e-06          0.0445278        1.19969e-05        0.000286048        1.55382e-15        1.26381e-06        2.67938e-19            0.73276
7        0.000188385         2.5118e-05        2.76876e-05             101325             1.1023        2.76876e-05            307.982                  0         0.00246051        1.96951e-06            271.212        6.10991e-07        1.11482e-15        1.40447e-12           0.221919        2.90024e-11        0.000387243        3.14276e-07        5.37649e-15        2.87831e-16        3.68432e-06          0.0444637        2.09874e-05        0.000442449        4.09249e-15        2.09426e-06        7.34996e-19            0.73276
8        0.000213503         2.5118e-05        2.73205e-05             101325            1.08768        2.73205e-05            312.118                  0         0.00381691        3.85043e-06            638.807        1.02951e-06        2.34506e-15        7.41141e-13           0.221564        4.81005e-11        0.000590491        4.69991e-07        1.34796e-14        7.33764e-16        5.67516e-06          0.0443696        3.61257e-05        0.000669057        1.06477e-14        3.40534e-06        2.03359e-18            0.73276
9        0.000238621         2.5118e-05        2.68161e-05             101325             1.0676        2.68161e-05            317.983                  0         0.00579238        7.84546e-06            1447.57        1.70259e-06        5.67647e-15        3.29011e-13           0.221059        8.07037e-11        0.000880761        6.91782e-07        3.32544e-14        1.85164e-15        8.55068e-06          0.0442349        6.10699e-05         0.00098815        2.75473e-14         5.4268e-06        5.74592e-18            0.73276
10        0.000263739         2.5118e-05        2.61502e-05             101325            1.04109        2.61502e-05             326.07                  0         0.00859207        1.66578e-05            3149.47        2.75879e-06        1.48155e-14        1.23263e-13           0.220358        1.38014e-10         0.00128441        1.00394e-06         8.1173e-14        4.65513e-15        1.25929e-05          0.0440469        0.000101182         0.00142447         7.1388e-14        8.46548e-06        1.67873e-17            0.73276
11        0.000288857         2.5118e-05        2.53078e-05             101325            1.00756        2.53078e-05            336.909                  0          0.0124506        3.67736e-05            6575.86        4.37188e-06        4.01671e-14        4.06196e-14           0.219414        2.42007e-10         0.00183074        1.43964e-06        1.96936e-13        1.17159e-14        1.81187e-05          0.0437917        0.000163946         0.00200342        1.86387e-13        1.29107e-05        5.11619e-17            0.73276
12        0.000313975         2.5118e-05        2.42884e-05             101325           0.966974        2.42884e-05            351.025                  0          0.0176194        8.40581e-05            13187.3        6.76383e-06        1.11525e-13         1.6383e-14           0.218174        4.36132e-10         0.00255043         2.0448e-06        4.75714e-13        2.95547e-14        2.54621e-05          0.0434542        0.000259241         0.00274878        4.91363e-13        1.92285e-05        1.62933e-16            0.73276
13        0.000339093         2.5118e-05        2.31097e-05             101325           0.920044        2.31097e-05            368.894                  0          0.0243486        0.000197722            25454.8        1.02009e-05        3.14316e-13        2.30912e-14           0.216591        8.05414e-10         0.00347356        2.88306e-06        1.14165e-12        7.44547e-14        3.49503e-05          0.0430196         0.00039932         0.00368035        1.30444e-12        2.79421e-05        5.38271e-16            0.73276
14        0.000364211         2.5118e-05        2.18053e-05             101325           0.868116        2.18053e-05            390.906                  0           0.032868        0.000474301              47449         1.4982e-05        8.89619e-13        8.02247e-14           0.214622        1.51149e-09          0.0046278         4.0419e-06        2.70553e-12        1.85752e-13        4.68823e-05           0.042474        0.000598413         0.00481221        3.46183e-12        3.95989e-05        1.81704e-15            0.73276
15        0.000389329         2.5118e-05        2.04205e-05             101325           0.812983        2.04205e-05            417.337                  0          0.0433698         0.00114651            85779.3        2.14196e-05        2.50251e-12        3.29472e-13            0.21223        2.84811e-09         0.00603698         5.6392e-06        6.27906e-12        4.53867e-13         6.1513e-05          0.0418052        0.000871955          0.0061521        9.09467e-12        5.47316e-05        6.15298e-15            0.73276
16        0.000414447         2.5118e-05        1.90036e-05             101325           0.756571        1.90036e-05            448.344                  0              0.056         0.00275462             151137        2.98196e-05        6.95429e-12        1.41449e-12           0.209388        5.31793e-09         0.00772052         7.8298e-06        1.41518e-11        1.07399e-12          7.905e-05          0.0410031         0.00123562           0.007702        2.34262e-11        7.38204e-05        2.05696e-14            0.73276
17        0.000439565         2.5118e-05        1.75989e-05             101325            0.70065        1.75989e-05            483.975                  0          0.0708581         0.00648764             260859        4.04621e-05        1.91493e-11        6.17937e-12           0.206075        9.72633e-09         0.00969361        1.08115e-05        3.07936e-11        2.44062e-12        9.96626e-05          0.0400594         0.00170437         0.00945971        5.87857e-11        9.72662e-05        6.73693e-14            0.73276
18        0.000464683         2.5118e-05        1.62422e-05             101325           0.646638        1.62422e-05            524.194                  0          0.0880056          0.0148012             443230        5.35894e-05        5.28894e-11        2.70293e-11           0.202274        1.72978e-08           0.011968        1.48303e-05        6.46644e-11        5.31174e-12        0.000123501          0.0389676         0.00229174          0.0114208        1.43604e-10        0.000125376        2.17176e-13            0.73276
19        0.000489801         2.5118e-05        1.49585e-05             101325           0.595529        1.49585e-05            568.908                  0           0.107479          0.0324583             744928        6.94011e-05        1.48847e-10         1.1692e-10           0.197976        2.98963e-08          0.0145531        2.01835e-05        1.32187e-10        1.11401e-11         0.00015072          0.0377227         0.00300942          0.0135803        3.43745e-10        0.000158362        7.00475e-13            0.73276
20        0.000514919         2.5118e-05        1.37625e-05             101325           0.547915        1.37625e-05            617.995                  0           0.129301          0.0683365        1.24559e+06        8.80553e-05        4.30851e-10        4.94669e-10           0.193168        5.07004e-08          0.0174569        2.72213e-05        2.69028e-10        2.29504e-11        0.000181504          0.0363202         0.00386719          0.0159342        8.17884e-10        0.000196341        2.30556e-12            0.73276
21        0.000540037         2.5118e-05        1.26609e-05             101325           0.504058        1.26609e-05            671.321                  0           0.153497            0.13938        2.09188e+06        0.000109674        1.27727e-09         2.0241e-09           0.187842        8.65103e-08          0.0206865        3.63416e-05        5.66893e-10        4.81195e-11        0.000216093           0.034756         0.00487295          0.0184805        1.97269e-09        0.000239344        7.81253e-12            0.73276
22        0.000565155         2.5118e-05        1.16542e-05             101325            0.46398        1.16542e-05            728.754                  0           0.180093           0.282349        3.58905e+06        0.000134348        3.81662e-09        7.91854e-09           0.181988         1.5522e-07          0.0242488        4.79726e-05        1.29486e-09        1.07448e-10        0.000254808          0.0330264         0.00603297          0.0212186        4.91104e-09         0.00028732         2.6977e-11            0.73276
23        0.000590273         2.5118e-05        1.07392e-05             101325           0.427548        1.07392e-05            790.169                  0           0.209126           0.594071        6.45759e+06        0.000162145        1.12713e-08         2.9307e-08           0.175596        3.08232e-07          0.0281505        6.25312e-05         3.2798e-09        2.63374e-10        0.000298096          0.0311279         0.00735198          0.0241499        1.27026e-08        0.000340128        9.27729e-11            0.73276
24        0.000615391         2.5118e-05        9.91006e-06             101325            0.39454        9.91006e-06             855.45                  0           0.240638             1.3673        1.25331e+07        0.000193112        3.23683e-08        1.01796e-07           0.168657        6.92529e-07           0.032397        8.03323e-05         9.0141e-09        7.01373e-10        0.000346581          0.0290571         0.00883316          0.0272767        3.37938e-08        0.000397542        3.10389e-10            0.73276
25        0.000640509         2.5118e-05        9.16028e-06             101325            0.36469        9.16028e-06             924.48                  0            0.27467            3.51492        2.65687e+07        0.000227273        8.95149e-08        3.30393e-07           0.161166        1.70964e-06          0.0369915        0.000101418        2.56202e-08         1.9456e-09        0.000401131          0.0268117          0.0104778          0.0306013        9.04491e-08        0.000459222        9.93216e-10            0.73276
26        0.000665627         2.5118e-05        8.48293e-06             101325           0.337723        8.48293e-06            997.124                  0           0.311251            9.77006         6.0577e+07        0.000264623        2.37488e-07        1.00145e-06           0.153124         4.3921e-06          0.0419322        0.000125258        7.20891e-08        5.38009e-09         0.00046282          0.0243913          0.0122846          0.0341243        2.37658e-07        0.000524648        3.00821e-09            0.73276
27        0.000690745         2.5118e-05        7.87148e-06             101325            0.31338        7.87148e-06             1073.2                  0           0.350375            27.7324        1.43539e+08        0.000305095        6.04008e-07        2.84118e-06           0.144545         1.1226e-05          0.0472084        0.000150286        1.95219e-07        1.43859e-08        0.000532486          0.0217996          0.0142478          0.0378429        6.00664e-07         0.00059296        8.57028e-09            0.73276
28        0.000715863         2.5118e-05        7.32018e-06             101325           0.291432        7.32018e-06            1152.42                  0           0.391976            76.6985        3.41121e+08        0.000348528        1.47171e-06        7.57365e-06           0.135452         2.7801e-05          0.0528001        0.000173371        5.00614e-07        3.65355e-08        0.000609342           0.019045          0.0163575          0.0417536        1.43898e-06        0.000662626        2.28699e-08           0.732759
29        0.000740981         2.5118e-05        6.82438e-06             101325           0.271693        6.82438e-06            1234.27                  0           0.435936            200.719        7.90342e+08        0.000394517        3.42379e-06        1.90307e-05           0.125882        6.57425e-05            0.05867        0.000189605        1.20151e-06        8.70256e-08        0.000687794          0.0161465          0.0185953          0.0458527        3.22831e-06        0.000730586        5.68524e-08           0.732758
30        0.000766099         2.5118e-05        6.38122e-06             101325            0.25405        6.38122e-06            1317.83                  0            0.48205            487.255        1.74357e+09        0.000441956        7.54357e-06        4.50993e-05           0.115911        0.000146877          0.0647405        0.000193424        2.65801e-06        1.91415e-07        0.000752343          0.0131483          0.0209218          0.0501334        6.68094e-06        0.000790279        1.30133e-07           0.732758
31        0.000791217         2.5118e-05        5.99058e-06             101325           0.238498        5.99058e-06            1401.32                  0            0.52987            1075.37        3.57069e+09        0.000488089        1.55245e-05        0.000100472           0.105702        0.000306436          0.0708547        0.000181494        5.27295e-06         3.7841e-07        0.000774118          0.0101437          0.0232491          0.0545811        1.24487e-05        0.000828081        2.67435e-07           0.732757
32        0.000816335         2.5118e-05        5.65602e-06             101325           0.225178        5.65602e-06            1481.56                  0           0.578482            2101.84        6.56836e+09        0.000527033        2.92418e-05        0.000208736          0.0955789        0.000588088          0.0767305        0.000155178        8.92907e-06        6.40998e-07        0.000719709         0.00729755          0.0253939           0.059166        2.00898e-05        0.000819894         4.7005e-07           0.732756
33        0.000841453         2.5118e-05        5.38406e-06             101325           0.214351        5.38406e-06            1553.84                  0           0.626224            3517.42        1.03795e+10        0.000549324        4.92074e-05        0.000398581          0.0860796         0.00101983          0.0819574        0.000120458        1.20401e-05        8.70183e-07        0.000581973         0.00483516          0.0270443           0.063831        2.66869e-05        0.000738642        6.58788e-07           0.732756
34        0.000866571         2.5118e-05        5.17895e-06             101325           0.206185        5.17895e-06            1613.37                  0           0.670685            4879.88        1.33967e+10        0.000546854         7.2768e-05        0.000684288          0.0778398         0.00157534          0.0861297        8.57411e-05        1.23457e-05        9.05135e-07        0.000404995          0.0029504          0.0278488          0.0684797        2.81044e-05        0.000585059        7.02691e-07           0.732756
