# Time 0.000125
# eta = 0.002
# length = 0.000931227
#--- 	  	 LEM Line data  --- 
#(1) wafer              (2) x             (3) dx              (4) m              (5) p            (6) rho              (7) m              (8) T              (9) Z             (10) C          (11) dCdt       (12) heatRel                  (13) Y_H2                  (14) Y_H                  (15) Y_O                  (16) Y_O2                  (17) Y_OH                  (18) Y_H2O                  (19) Y_HO2                  (20) Y_CH2                  (21) Y_CH2(S)                  (22) Y_CH3                  (23) Y_CH4                  (24) Y_CO                  (25) Y_CO2                  (26) Y_HCO                  (27) Y_CH2O                  (28) Y_CH2OH                  (29) Y_N2
0        1.25571e-05        2.51141e-05        2.84204e-05             101325            1.13165        2.84204e-05                300                  0                  0                  0          4.821e-12        2.09761e-13        1.16374e-23        3.65606e-14           0.222598        1.40429e-13        6.20666e-10        1.16543e-12        1.49618e-23        6.48166e-25           4.64e-12          0.0446421        6.48139e-12        7.46346e-10        1.00616e-23        9.19987e-13          9.091e-28            0.73276
1        3.76712e-05        2.51141e-05        2.84204e-05             101325            1.13165        2.84204e-05                300                  0        6.32386e-09        1.06259e-08         0.00778892        6.84252e-13        2.69073e-22         1.0091e-13           0.222598        3.99121e-13        1.98448e-09        3.71118e-12        5.67956e-22        2.92325e-23        1.48955e-11          0.0446421        2.10747e-11        2.38577e-09        3.57198e-22        3.03439e-12        6.09454e-26            0.73276
2        6.27853e-05        2.51141e-05        2.84204e-05             101325            1.13165        2.84204e-05                300                  0        2.00704e-08        2.99543e-08            0.02196        2.58291e-12        4.00317e-21        3.20616e-13           0.222598        1.31164e-12        7.34306e-09        1.36514e-11         9.2684e-21        4.80023e-22        5.53529e-11          0.0446421        7.92761e-11        8.82593e-09        5.79171e-21        1.15675e-11        1.03656e-24            0.73276
3        8.78994e-05        2.51141e-05        2.84204e-05             101325            1.13165        2.84204e-05            300.001                  0         7.4333e-08        9.85557e-08          0.0722732        9.57575e-12         3.9049e-20         9.8796e-13           0.222598        4.19608e-12        2.66621e-08        4.91633e-11        9.27803e-20        4.80616e-21        2.01945e-10          0.0446421         2.9276e-10        3.20387e-08         5.8075e-20        4.32778e-11        1.03786e-23            0.73276
4        0.000113014        2.51141e-05        2.84202e-05             101325            1.13164        2.84202e-05            300.002                  0        2.69827e-07        3.15237e-07           0.231311        3.43335e-11        3.54176e-19        2.88151e-12           0.222598        1.27788e-11        9.34683e-08        1.70475e-10        8.66615e-19        4.48957e-20        7.11841e-10           0.044642        1.04502e-09        1.12288e-07        5.43596e-19        1.56521e-10        9.69088e-23            0.73276
5        0.000138128        2.51141e-05        2.84198e-05             101325            1.13163        2.84198e-05            300.007                  0        9.45573e-07        9.59799e-07           0.705419        1.18716e-10        2.95423e-18        7.88665e-12           0.222598        3.68096e-11        3.15361e-07        5.67076e-10        7.48688e-18        3.88485e-19        2.41685e-09          0.0446419        3.59528e-09        3.78752e-07        4.70682e-18         5.4567e-10        8.37854e-22            0.73276
6        0.000163242        2.51141e-05        2.84183e-05             101325            1.13157        2.84183e-05            300.022                  0        3.18904e-06        2.76469e-06            2.04129        3.95024e-10        2.26191e-17         2.0073e-11           0.222596        9.95794e-11        1.02153e-06        1.80407e-09        5.96675e-17        3.08099e-18        7.88495e-09          0.0446416        1.18958e-08        1.22648e-06        3.76108e-17         1.8297e-09        6.68595e-21            0.73276
7        0.000188356        2.51141e-05        2.84139e-05             101325            1.13139        2.84139e-05            300.069                  0        1.03253e-05        7.48529e-06            5.59902        1.26205e-09        1.54384e-16        4.69421e-11           0.222593        2.50779e-10        3.16835e-06        5.47057e-09        4.27358e-16        2.20785e-17        2.46556e-08          0.0446406        3.77686e-08        3.80272e-06         2.7025e-16        5.88726e-09        4.80498e-20            0.73276
8         0.00021347        2.51141e-05        2.84012e-05             101325            1.13089        2.84012e-05            300.203                  0        3.20091e-05        1.89147e-05            14.6569        3.86193e-09        9.28577e-16         9.9185e-11           0.222582        5.81493e-10        9.38144e-06        1.57511e-08        2.72394e-15        1.40819e-16          7.368e-08          0.0446378        1.14785e-07        1.12554e-05        1.73025e-15         1.8131e-08        3.08243e-19            0.73276
9        0.000238584        2.51141e-05        2.83665e-05             101325             1.1295        2.83665e-05            300.571                  0         9.4728e-05        4.43292e-05            37.5498        1.12874e-08        4.81291e-15         1.8475e-10           0.222551        1.22303e-09        2.64287e-05        4.28693e-08          1.511e-14        7.83891e-16        2.09725e-07          0.0446301        3.33033e-07        3.16934e-05        9.65832e-15          5.329e-08        1.73623e-18            0.73276
10        0.000263698        2.51141e-05        2.82772e-05             101325            1.12595        2.82772e-05            301.519                  0        0.000266714        9.60356e-05            98.9163        3.14035e-08        2.08939e-14        2.92346e-10           0.222473        2.28519e-09        7.05431e-05        1.09697e-07        7.11776e-14        3.71137e-15        5.66307e-07            0.04461        9.19488e-07        8.45506e-05        4.59895e-14        1.48959e-07        8.42781e-18            0.73276
11        0.000288812        2.51141e-05        2.80642e-05             101325            1.11747        2.80642e-05            303.807                  0        0.000711551        0.000193085            281.184        8.27995e-08        7.32699e-14        3.71723e-10           0.222284        3.68425e-09        0.000177451        2.62138e-07        2.73963e-13        1.44332e-14        1.44294e-06          0.0445615        2.40585e-06        0.000212552        1.80443e-13        3.94177e-07        3.45161e-17            0.73276
12        0.000313927        2.51141e-05        2.75996e-05             101325            1.09897        2.75996e-05            308.921                  0          0.0017893        0.000364435             853.28        2.05591e-07        1.99711e-13         3.5147e-10           0.221859        4.93267e-09          0.0004176        5.80124e-07        8.19382e-13        4.40544e-14        3.44392e-06          0.0444523        5.93106e-06        0.000499821        5.58956e-13        9.81091e-07        1.16943e-16            0.73276
13        0.000339041        2.51141e-05        2.66992e-05             101325            1.06312        2.66992e-05            319.336                  0         0.00421104        0.000645692            2590.92        4.76496e-07        4.15386e-13        2.27684e-10           0.220988        5.27621e-09        0.000910359        1.17773e-06        1.80283e-12        1.00663e-13        7.62332e-06          0.0442281        1.36644e-05         0.00108857        1.30978e-12        2.27604e-06        3.27257e-16            0.73276
14        0.000364155        2.51141e-05        2.52005e-05             101325            1.00344        2.52005e-05            338.322                  0         0.00918657         0.00102853            7531.89        1.01987e-06        7.01481e-13        9.90336e-11           0.219384        4.53306e-09         0.00181756        2.17648e-06        2.90071e-12        1.72655e-13        1.54699e-05           0.043815        2.91286e-05         0.00217079        2.34867e-12        4.86709e-06        8.23356e-16            0.73276
15        0.000389269        2.51141e-05         2.3114e-05             101325           0.920358         2.3114e-05            368.853                  0          0.0183696         0.00140066            20815.7        1.99842e-06         1.2622e-12        3.21098e-11           0.216773        3.76229e-09         0.00329527        3.66019e-06        4.18571e-12        2.74585e-13        2.85267e-05          0.0431414        5.69878e-05         0.00392998        4.05866e-12        9.50376e-06        2.53248e-15            0.73276
16        0.000414383        2.51141e-05        2.06825e-05             101325           0.823542        2.06825e-05            412.198                  0          0.0333741         0.00186004            53601.1        3.58088e-06         3.6073e-12        1.08212e-11           0.213008        4.68311e-09         0.00542678        5.66262e-06        8.46379e-12        6.21465e-13        4.77988e-05          0.0421684        0.000102223         0.00646066        1.04279e-11        1.69152e-05        1.20063e-14            0.73276
17        0.000439497        2.51141e-05        1.82337e-05             101325           0.726034        1.82337e-05            467.529                  0          0.0550629         0.00368248             125079        5.91413e-06         1.4012e-11        1.17126e-11           0.208114        9.31148e-09          0.0081993        8.20801e-06          2.407e-11        1.92573e-12        7.34929e-05          0.0409009        0.000169413         0.00974116        3.69041e-11        2.76533e-05        6.55518e-14            0.73276
18        0.000464611        2.51141e-05        1.60027e-05             101325           0.637199        1.60027e-05            532.665                  0          0.0832608          0.0111325             267047         9.1199e-06        5.29382e-11        3.95041e-11           0.202232        2.05778e-08           0.011534        1.13519e-05        6.98539e-11        5.90603e-12        0.000105229          0.0393735        0.000262654          0.0136702        1.29679e-10        4.20666e-05        3.20087e-13            0.73276
19        0.000489725        2.51141e-05        1.40877e-05             101325           0.560948        1.40877e-05            605.007                  0           0.117061          0.0351377             540936        1.33066e-05        1.78098e-10        1.57316e-10           0.195548        4.24787e-08          0.0153266        1.51915e-05        1.83422e-10        1.59878e-11        0.000142385          0.0376328        0.000385882          0.0181157        4.06444e-10        6.03479e-05        1.32155e-12           0.732759
20         0.00051484        2.51141e-05        1.24935e-05             101325           0.497469        1.24935e-05            682.117                  0            0.15528          0.0978684        1.06345e+06        1.85827e-05         5.3791e-10        6.08578e-10           0.188249        7.97713e-08          0.0194727        1.98577e-05        4.35347e-10        3.82685e-11        0.000184334          0.0357253        0.000543229          0.0229453        1.13382e-09        8.25756e-05        4.68982e-12           0.732759
21        0.000539954        2.51141e-05        1.11827e-05             101325           0.445275        1.11827e-05             761.95                  0           0.196757           0.234912         2.0266e+06        2.50655e-05        1.48291e-09        2.18697e-09           0.180501        1.39165e-07          0.0238788        2.55018e-05        9.65903e-10        8.39809e-11        0.000230565          0.0336926        0.000739284          0.0280391        2.87674e-09        0.000108732        1.48377e-11           0.732759
22        0.000565068        2.51141e-05        1.01069e-05             101325           0.402437        1.01069e-05            842.891                  0           0.240471           0.497522        3.71959e+06        3.28859e-05        3.76059e-09        7.13108e-09            0.17245        2.34069e-07          0.0284642        3.22788e-05        2.08368e-09         1.7653e-10        0.000280718          0.0315705         0.00097923          0.0332923        6.78298e-09        0.000138716        4.33788e-11           0.732759
23        0.000590182        2.51141e-05         9.2204e-06             101325            0.36714         9.2204e-06            923.715                  0           0.285556           0.968618        6.58871e+06        4.21901e-05        8.81954e-09        2.09298e-08            0.16422        3.94906e-07          0.0331601        4.03259e-05        4.50193e-09        3.68702e-10        0.000334602           0.029389         0.00126888          0.0386139        1.50894e-08        0.000172357        1.20152e-10           0.732758
24        0.000615296        2.51141e-05        8.48492e-06             101325           0.337854        8.48492e-06            1003.51                  0           0.331279            1.81457         1.1388e+07        5.31375e-05        1.93314e-08        5.56223e-08           0.155917         6.8876e-07          0.0379077        4.97293e-05        9.85908e-09        7.80427e-10        0.000392168          0.0271741         0.00161461          0.0439235         3.1968e-08        0.000209449        3.19146e-10           0.732758
25         0.00064041        2.51141e-05        7.86963e-06             101325           0.313355        7.86963e-06            1081.63                  0           0.377017              3.404        1.95015e+07        6.58993e-05        4.02571e-08         1.3597e-07           0.147631        1.25687e-06          0.0426572        6.04826e-05        2.18091e-08        1.67724e-09        0.000453493          0.0249469         0.00202329           0.049152        6.49344e-08        0.000249777        8.15555e-10           0.732758
26        0.000665524        2.51141e-05        7.35031e-06             101325           0.292677        7.35031e-06            1157.62                  0           0.422247            6.54762         3.3584e+07        8.06686e-05        8.10928e-08        3.11842e-07           0.139431        2.38817e-06          0.0473727        7.24414e-05        4.82413e-08        3.62904e-09        0.000518764          0.0227226         0.00250261          0.0542455        1.27357e-07        0.000293193        2.00498e-09           0.732758
27        0.000690638        2.51141e-05        6.90801e-06             101325           0.275065        6.90801e-06            1231.21                  0           0.466592            12.9633        5.87816e+07        9.76622e-05        1.60271e-07        6.83168e-07           0.131357        4.66261e-06          0.0520316        8.52625e-05        1.05637e-07        7.82027e-09        0.000588122          0.0205101         0.00306128          0.0591655        2.43056e-07        0.000339618        4.74038e-09           0.732758
