# Time 0.000735
# eta = 0.002
# length = 0.000193389
#--- 	  	 LEM Line data  --- 
#(1) wafer              (2) x             (3) dx              (4) m              (5) p            (6) rho              (7) m              (8) T              (9) Z             (10) C          (11) dCdt       (12) heatRel                  (13) Y_H2                  (14) Y_H                  (15) Y_O                  (16) Y_O2                  (17) Y_OH                  (18) Y_H2O                  (19) Y_HO2                  (20) Y_CH2                  (21) Y_CH2(S)                  (22) Y_CH3                  (23) Y_CH4                  (24) Y_CO                  (25) Y_CO2                  (26) Y_HCO                  (27) Y_CH2O                  (28) Y_CH2OH                  (29) Y_N2
0        1.25591e-05        2.51183e-05        2.83354e-05             101325            1.12808        2.83354e-05             300.95                  0                  0                  0       7.11455e-322        7.55231e-08        3.00009e-17        7.32104e-13           0.222517        2.82043e-12        4.60553e-05        3.78299e-08        6.43968e-17        3.34382e-18        4.35536e-07          0.0446208        2.66075e-06        5.23932e-05        4.69685e-17        2.50738e-07        7.37014e-21            0.73276
1        3.76774e-05        2.51183e-05        2.82996e-05             101325            1.12666        2.82996e-05             301.33                  0        0.000467617        2.39721e-07            10.5808        1.10899e-07        4.94328e-17        8.38731e-13           0.222485        3.98364e-12         6.4597e-05        5.24813e-08        1.23254e-16        6.41014e-18        6.13063e-07          0.0446123        3.94976e-06         7.3189e-05        9.06034e-17        3.61743e-07        1.42306e-20            0.73276
2        6.27957e-05        2.51183e-05        2.82475e-05             101325            1.12458        2.82475e-05            301.885                  0        0.000630846        3.36489e-07            18.8227        1.69637e-07        8.05165e-17        8.23265e-13           0.222437         5.7378e-12        9.18795e-05        7.33463e-08        2.54894e-16        1.32898e-17        8.76952e-07          0.0445996        6.14264e-06        0.000103383        1.89728e-16        5.38308e-07        2.98473e-20            0.73276
3         8.7914e-05        2.51183e-05        2.81681e-05             101325            1.12142        2.81681e-05            302.736                  0        0.000895657        5.09373e-07            37.0836        2.68473e-07        1.34593e-16        7.18765e-13           0.222364        8.50545e-12        0.000133845        1.04747e-07        5.53356e-16        2.89561e-17        1.28565e-06          0.0445802        9.89972e-06        0.000149302         4.1849e-16        8.26012e-07         6.6173e-20            0.73276
4        0.000113032        2.51183e-05        2.80511e-05             101325            1.11676        2.80511e-05            303.997                  0         0.00129984        8.10047e-07            76.5807        4.29011e-07        2.37445e-16        5.55559e-13           0.222256        1.27733e-11        0.000196393        1.50727e-07        1.22107e-15        6.42367e-17        1.89832e-06          0.0445511          1.611e-05        0.000216906        9.41389e-16        1.27899e-06        1.50575e-19            0.73276
5        0.000138151        2.51183e-05        2.78835e-05             101325            1.11009        2.78835e-05            305.822                  0         0.00189792        1.33876e-06            160.713        6.83594e-07         4.5253e-16         3.7717e-13           0.222098        1.92937e-11        0.000287405        2.16705e-07        2.69279e-15        1.42725e-16        2.79416e-06          0.0445086        2.61326e-05        0.000313922        2.12463e-15        1.97508e-06        3.46906e-19            0.73276
6        0.000163269        2.51183e-05        2.76495e-05             101325            1.10077        2.76495e-05            308.407                  0         0.00276141        2.29023e-06            336.158        1.07937e-06        9.30834e-16        2.23135e-13           0.221875        2.92716e-11        0.000417135         3.0987e-07        5.89232e-15        3.15572e-16        4.07632e-06           0.044448        4.19908e-05        0.000450051         4.7814e-15        3.02332e-06        8.06841e-19            0.73276
7        0.000188387        2.51183e-05        2.73308e-05             101325            1.08809        2.73308e-05            311.997                  0         0.00398177        4.05339e-06            692.856        1.68324e-06        2.02403e-15        1.14031e-13           0.221562        4.47179e-11          0.0005986         4.3978e-07        1.27798e-14         6.9412e-16        5.87544e-06           0.044363        6.66155e-05        0.000637109        1.07314e-14        4.57239e-06         1.9017e-18            0.73276
8        0.000213505        2.51183e-05        2.69082e-05             101325            1.07126        2.69082e-05            316.889                  0         0.00567283        7.42533e-06            1398.28        2.58725e-06        4.56084e-15         5.0185e-14           0.221135        6.91553e-11        0.000847877        6.19223e-07        2.75514e-14        1.52436e-15        8.35199e-06          0.0442458        0.000104125           0.000889        2.41217e-14          6.819e-06        4.57978e-18            0.73276
9        0.000238624        2.51183e-05        2.63629e-05             101325            1.04955        2.63629e-05            323.431                  0         0.00797201        1.40895e-05            2754.12        3.91382e-06        1.05535e-14        1.91544e-14           0.220561        1.08971e-10         0.00118423        8.65514e-07         5.9315e-14        3.36037e-15        1.16966e-05          0.0440873         0.00016011         0.00122147        5.46277e-14        1.00148e-05        1.13828e-17            0.73276
