# Time 0.000105
# eta = 0.002
# length = 0.000943391
#--- 	  	 LEM Line data  --- 
#(1) wafer              (2) x             (3) dx              (4) m              (5) p            (6) rho              (7) m              (8) T              (9) Z             (10) C          (11) dCdt       (12) heatRel                  (13) Y_H2                  (14) Y_H                  (15) Y_O                  (16) Y_O2                  (17) Y_OH                  (18) Y_H2O                  (19) Y_HO2                  (20) Y_CH2                  (21) Y_CH2(S)                  (22) Y_CH3                  (23) Y_CH4                  (24) Y_CO                  (25) Y_CO2                  (26) Y_HCO                  (27) Y_CH2O                  (28) Y_CH2OH                  (29) Y_N2
0        1.25568e-05        2.51136e-05        2.84198e-05             101325            1.13165        2.84198e-05                300                  0                  0                  0                  0        3.27814e-14                  0        8.90492e-15           0.222598        4.28602e-14        1.02944e-10        1.93985e-13                  0                  0        7.52019e-13          0.0446421        1.02126e-12        1.23888e-10                  0        1.38237e-13                  0            0.73276
1        3.76703e-05        2.51136e-05        2.84198e-05             101325            1.13165        2.84198e-05                300                  0        1.04562e-09        3.23165e-09         0.00236799        1.20324e-13        4.92907e-24        2.82438e-14           0.222598        1.39344e-13        3.70953e-10        7.00827e-13                  0                  0        2.72039e-12          0.0446421        3.74169e-12        4.46321e-10                  0        5.14729e-13                  0            0.73276
2        6.27839e-05        2.51136e-05        2.84198e-05             101325            1.13165        2.84198e-05                300                  0        3.74691e-09        1.04433e-08          0.0076527        5.07321e-13         3.6689e-22         1.0267e-13           0.222598        5.20724e-13        1.53594e-09        2.90354e-12        9.48132e-22        5.00725e-23         1.1309e-11          0.0446421        1.57417e-11        1.84759e-09        5.90899e-22        2.19809e-12        1.05203e-25            0.73276
3        8.78974e-05        2.51136e-05        2.84198e-05             101325            1.13165        2.84198e-05                300                  0        1.55236e-08        3.90581e-08          0.0286241        2.09401e-12         5.4305e-21        3.60984e-13           0.222598        1.89166e-12        6.21999e-09        1.17412e-11        1.48854e-20        7.72613e-22        4.60007e-11          0.0446421        6.48009e-11        7.48036e-09        9.27331e-21        9.18283e-12        1.67329e-24            0.73276
4        0.000113011        2.51136e-05        2.84197e-05             101325            1.13165        2.84197e-05            300.001                  0          6.285e-08        1.41868e-07           0.103992        8.35849e-12        5.84114e-20        1.20457e-12           0.222598        6.55117e-12        2.43217e-08        4.57374e-11        1.63468e-19        8.44309e-21        1.80797e-10          0.0446421        2.57813e-10        2.92428e-08        1.02097e-19        3.70835e-11        1.83071e-23            0.73276
5        0.000138125        2.51136e-05        2.84196e-05             101325            1.13164        2.84196e-05            300.002                  0        2.45682e-07          4.912e-07           0.360256         3.2179e-11        5.85908e-19        3.78767e-12           0.222598        2.15213e-11        9.15603e-08        1.71052e-10        1.68188e-18        8.66465e-20        6.84639e-10           0.044642        9.88627e-10        1.10057e-07        1.05297e-18        1.44374e-10        1.88046e-22            0.73276
6        0.000163238        2.51136e-05        2.84191e-05             101325            1.13162        2.84191e-05            300.007                  0         9.2457e-07        1.61336e-06            1.18514        1.19205e-10        5.39777e-18        1.11346e-11           0.222598        6.66337e-11        3.30969e-07        6.12202e-10        1.59953e-17        8.26443e-19        2.49167e-09          0.0446419        3.64513e-09        3.97716e-07        1.00304e-17         5.4057e-10        1.79495e-21            0.73276
7        0.000188352        2.51136e-05        2.84174e-05             101325            1.13156        2.84174e-05            300.025                  0        3.34086e-06        4.99574e-06            3.68697        4.23827e-10        4.52988e-17          3.029e-11           0.222596        1.92879e-10        1.14546e-06        2.08936e-09        1.39629e-16        7.22451e-18         8.6912e-09          0.0446415         1.2889e-08        1.37603e-06        8.77715e-17         1.9415e-09         1.5726e-20            0.73276
8        0.000213465        2.51136e-05         2.8412e-05             101325            1.13134         2.8412e-05            300.082                  0        1.15577e-05        1.44767e-05            10.8325        1.44227e-09        3.42311e-16        7.51941e-11           0.222591        5.16768e-10         3.7834e-06        6.77172e-09        1.10084e-15        5.69561e-17        2.89658e-08          0.0446403        4.35824e-08        4.54337e-06        6.94609e-16        6.66961e-09        1.24471e-19            0.73276
9        0.000238579        2.51136e-05        2.83954e-05             101325            1.13068        2.83954e-05            300.258                  0        3.81576e-05        3.89571e-05            30.3088        4.68286e-09        2.25893e-15        1.66971e-10           0.222577        1.26461e-09        1.18822e-05        2.07432e-08        7.66413e-15        3.97164e-16        9.19112e-08          0.0446367        1.40484e-07        1.42634e-05        4.86019e-15        2.18443e-08        8.75146e-19            0.73276
