# Time 0.0006
# eta = 0.002
# length = 0.000376607
#--- 	  	 LEM Line data  --- 
#(1) wafer              (2) x             (3) dx              (4) m              (5) p            (6) rho              (7) m              (8) T              (9) Z             (10) C          (11) dCdt       (12) heatRel                  (13) Y_H2                  (14) Y_H                  (15) Y_O                  (16) Y_O2                  (17) Y_OH                  (18) Y_H2O                  (19) Y_HO2                  (20) Y_CH2                  (21) Y_CH2(S)                  (22) Y_CH3                  (23) Y_CH4                  (24) Y_CO                  (25) Y_CO2                  (26) Y_HCO                  (27) Y_CH2O                  (28) Y_CH2OH                  (29) Y_N2
0        1.25591e-05        2.51181e-05        2.83737e-05             101325            1.12961        2.83737e-05            300.542                  0                  0                  0           -55.8125          2.981e-08        3.52117e-17        2.04516e-12           0.222552        1.58387e-12        2.59548e-05        2.34836e-08        1.98825e-17        1.03061e-18        2.37998e-07          0.0446302        9.63348e-07        3.02573e-05        1.39671e-17        1.13402e-07        2.25389e-21            0.73276
1        3.76772e-05        2.51181e-05        2.83509e-05             101325             1.1287        2.83509e-05            300.784                  0        0.000266735        1.29294e-07            3.81946        4.54381e-08        5.86001e-17        2.40024e-12           0.222532        2.31244e-12        3.76215e-05        3.35018e-08        4.09862e-17        2.12673e-18        3.46722e-07          0.0446248        1.48533e-06        4.37371e-05        2.89735e-17        1.69741e-07        4.67434e-21            0.73276
2        6.27953e-05        2.51181e-05        2.83141e-05             101325            1.12724        2.83141e-05            301.174                  0        0.000372863        1.86019e-07            7.14892        7.36599e-08        9.51054e-17        2.47055e-12           0.222499         3.5165e-12        5.64791e-05        4.90804e-08        9.49977e-17         4.9378e-18        5.24586e-07          0.0446161        2.44918e-06        6.53618e-05        6.78266e-17        2.67715e-07        1.09459e-20            0.73276
3        8.79135e-05        2.51181e-05        2.82545e-05             101325            1.12487        2.82545e-05            301.809                  0        0.000559735        2.93485e-07             15.394        1.24022e-07        1.50687e-16        2.30344e-12           0.222445        5.53241e-12        8.72943e-05        7.38716e-08        2.32992e-16        1.21465e-17        8.17853e-07          0.0446019        4.20109e-06        0.000100458        1.68482e-16         4.3723e-07        2.72899e-20            0.73276
4        0.000113032        2.51181e-05        2.81619e-05             101325            1.12118        2.81619e-05            302.801                  0        0.000863326        4.87704e-07            35.2236        2.10477e-07         2.3526e-16        1.92959e-12            0.22236        8.80233e-12        0.000135615        1.11852e-07        5.78228e-16        3.02763e-17        1.28174e-06          0.0445796        7.26677e-06        0.000155057        4.24803e-16        7.18955e-07        6.94321e-20            0.73276
5         0.00013815        2.51181e-05        2.80227e-05             101325            1.11564        2.80227e-05            304.304                  0         0.00133687        8.40061e-07             81.932        3.55265e-07        3.79118e-16        1.43437e-12           0.222232        1.40242e-11         0.00020917        1.68488e-07        1.42164e-15        7.49173e-17        1.99407e-06          0.0445456        1.25057e-05        0.000237389        1.06531e-15         1.1748e-06         1.7714e-19            0.73276
6        0.000163268        2.51181e-05        2.78196e-05             101325            1.10755        2.78196e-05            306.524                  0          0.0020536        1.49375e-06            188.954          5.929e-07        6.75023e-16        9.33386e-13           0.222041        2.23299e-11        0.000318386        2.51169e-07        3.43578e-15        1.82734e-16        3.06093e-06           0.044495        2.12865e-05        0.000358267        2.63968e-15        1.89635e-06        4.51731e-19            0.73276
7        0.000188386        2.51181e-05        2.75316e-05             101325            1.09609        2.75316e-05            309.726                  0         0.00311094        2.74616e-06            426.322        9.75464e-07        1.37573e-15        5.24139e-13           0.221766        3.56162e-11        0.000476883        3.69787e-07        8.15335e-15        4.39292e-16         4.6222e-06          0.0444214         3.5729e-05        0.000531365        6.46486e-15        3.01517e-06        1.15675e-18            0.73276
8        0.000213504        2.51181e-05        2.71357e-05             101325            1.08032        2.71357e-05             314.24                  0         0.00463406          5.232e-06            934.439        1.57912e-06        3.12883e-15        2.51472e-13           0.221376        5.72197e-11        0.000701843        5.37561e-07        1.90575e-14        1.04507e-15        6.85555e-06          0.0443166         5.9016e-05        0.000773232        1.57231e-14        4.71423e-06        3.00267e-18            0.73276
9        0.000238622        2.51181e-05        2.66088e-05             101325            1.05935        2.66088e-05            320.454                  0         0.00677769         1.0346e-05            1982.69        2.51126e-06        7.58418e-15        1.02636e-13           0.220836        9.32487e-11         0.00101413        7.72251e-07        4.40984e-14        2.47518e-15        9.97752e-06          0.0441707        9.57578e-05         0.00110293        3.82306e-14        7.23869e-06        7.99313e-18            0.73276
