# Time 0.00013
# eta = 0.002
# length = 0.000927873
#--- 	  	 LEM Line data  --- 
#(1) wafer              (2) x             (3) dx              (4) m              (5) p            (6) rho              (7) m              (8) T              (9) Z             (10) C          (11) dCdt       (12) heatRel                  (13) Y_H2                  (14) Y_H                  (15) Y_O                  (16) Y_O2                  (17) Y_OH                  (18) Y_H2O                  (19) Y_HO2                  (20) Y_CH2                  (21) Y_CH2(S)                  (22) Y_CH3                  (23) Y_CH4                  (24) Y_CO                  (25) Y_CO2                  (26) Y_HCO                  (27) Y_CH2O                  (28) Y_CH2OH                  (29) Y_N2
0        1.25571e-05        2.51143e-05        2.84206e-05             101325            1.13165        2.84206e-05                300                  0                  0                  0                  0        3.15613e-13        2.89804e-23        4.93663e-14           0.222598        1.79066e-13        9.20723e-10        1.72266e-12        4.78001e-23        2.37947e-24        6.91564e-12          0.0446421        9.72852e-12        1.10697e-09        3.04005e-23        1.39468e-12        4.70988e-27            0.73276
1        3.76714e-05        2.51143e-05        2.84206e-05             101325            1.13165        2.84206e-05                300                  0        9.38865e-09        1.35617e-08         0.00994221        1.00236e-12        5.08407e-22        1.32009e-13           0.222598        4.93709e-13        2.86505e-09        5.33065e-12        1.06232e-21        5.53877e-23        2.16086e-11          0.0446421        3.07894e-11         3.4438e-09          6.652e-22        4.47553e-12        1.16947e-25            0.73276
2        6.27857e-05        2.51143e-05        2.84206e-05             101325            1.13165        2.84206e-05                300                  0        2.89851e-08        3.70648e-08          0.0271775        3.68898e-12        6.42631e-21          4.065e-13           0.222598        1.57471e-12        1.03313e-08        1.90802e-11         1.4336e-20        7.43505e-22        7.82629e-11          0.0446421        1.12891e-10        1.24153e-08        8.96407e-21        1.66242e-11        1.60541e-24            0.73276
3        8.78999e-05        2.51143e-05        2.84205e-05             101325            1.13165        2.84205e-05            300.001                  0        1.04623e-07        1.18371e-07          0.0868254        1.33468e-11        6.03109e-20        1.21508e-12           0.222598        4.89208e-12        3.65918e-08        6.69257e-11         1.3827e-19        7.16291e-21        2.78558e-10           0.044642        4.06762e-10        4.39626e-08        8.66387e-20        6.06609e-11        1.54674e-23            0.73276
4        0.000113014        2.51143e-05        2.84203e-05             101325            1.13164        2.84203e-05            300.003                  0        3.70459e-07        3.67676e-07           0.269906        4.67073e-11          5.244e-19        3.43592e-12           0.222598        1.44681e-11        1.25143e-07         2.2603e-10        1.24089e-18        6.42695e-20        9.58009e-10           0.044642        1.41688e-09        1.50312e-07        7.79299e-19        2.14001e-10        1.38714e-22            0.73276
5        0.000138128        2.51143e-05        2.84198e-05             101325            1.13162        2.84198e-05            300.009                  0        1.26647e-06        1.08714e-06           0.799742        1.57642e-10        4.17678e-18         9.1087e-12           0.222597        4.04429e-11        4.11918e-07        7.32272e-10        1.02664e-17        5.32691e-19        3.17355e-09          0.0446419        4.75733e-09         4.9462e-07         6.4627e-18        7.27778e-10        1.14845e-21            0.73276
6        0.000163243        2.51143e-05        2.84179e-05             101325            1.13155        2.84179e-05            300.028                  0        4.16689e-06        3.03913e-06            2.24891        5.12076e-10        3.05747e-17        2.24261e-11           0.222596        1.06091e-10        1.30177e-06        2.26879e-09        7.81836e-17        4.03813e-18        1.01024e-08          0.0446415        1.53646e-08        1.56264e-06        4.93457e-17        2.38082e-09        8.76292e-21            0.73276
7        0.000188357        2.51143e-05        2.84125e-05             101325            1.13133        2.84125e-05            300.085                  0        1.31623e-05        7.98125e-06            6.00394        1.59744e-09        1.98383e-16        5.06423e-11           0.222591        2.58834e-10         3.9396e-06        6.70032e-09        5.33714e-16        2.75859e-17        3.08253e-08          0.0446403        4.76287e-08        4.72736e-06        3.37981e-16        7.47515e-09        6.00483e-20            0.73276
8        0.000213471        2.51143e-05        2.83973e-05             101325            1.13072        2.83973e-05            300.246                  0        3.98128e-05        1.95548e-05            15.3671        4.77424e-09         1.1307e-15        1.03062e-10           0.222578        5.80732e-10         1.1384e-05        1.87906e-08        3.23381e-15        1.67334e-16        8.99022e-08          0.0446369         1.4138e-07        1.36548e-05        2.05736e-15        2.24699e-08        3.66535e-19            0.73276
9        0.000238586        2.51143e-05        2.83568e-05             101325            1.12911        2.83568e-05            300.675                  0        0.000114981        4.44406e-05            38.8595        1.36332e-08        5.53563e-15        1.84218e-10           0.222543           1.18e-09        3.13048e-05        4.98223e-08        1.70268e-14        8.83692e-16        2.49795e-07          0.0446279         4.0082e-07        3.75315e-05        1.09074e-14        6.44828e-08        1.96105e-18            0.73276
10          0.0002637        2.51143e-05        2.82553e-05             101325            1.12507        2.82553e-05            301.755                  0        0.000316005        9.34617e-05            102.326        3.70743e-08        2.26071e-14        2.78246e-10           0.222454        2.12569e-09        8.15867e-05        1.24235e-07        7.58519e-14        3.95843e-15        6.58559e-07           0.044605        1.08195e-06        9.77602e-05        4.91579e-14        1.76056e-07        9.02707e-18            0.73276
11        0.000288814        2.51143e-05        2.80193e-05             101325            1.11567        2.80193e-05            304.295                  0        0.000823146        0.000182832            292.442        9.55901e-08        7.42996e-14         3.3539e-10           0.222243        3.29669e-09         0.00020045        2.89435e-07        2.75217e-13        1.45243e-14        1.63873e-06           0.044551         2.7695e-06        0.000240027        1.82081e-13        4.55242e-07        3.50331e-17            0.73276
12        0.000313928        2.51143e-05        2.75185e-05             101325            1.09573        2.75185e-05            309.833                  0         0.00202169        0.000336364            887.573        2.32229e-07        1.89691e-13        2.98716e-10           0.221783        4.24112e-09        0.000460913        6.24984e-07        7.74451e-13        4.17723e-14        3.82091e-06          0.0444326        6.68428e-06        0.000551468        5.31915e-13        1.10773e-06        1.12678e-16            0.73276
13        0.000339043        2.51143e-05        2.65743e-05             101325            1.05814        2.65743e-05            320.838                  0         0.00464889        0.000579534            2688.32        5.27062e-07        3.73235e-13        1.82457e-10            0.22086        4.37986e-09        0.000982435        1.23998e-06        1.61143e-12         9.0444e-14        8.26771e-06          0.0441952        1.50918e-05         0.00117427        1.18277e-12        2.51414e-06        3.02482e-16            0.73276
14        0.000364157        2.51143e-05        2.50436e-05             101325           0.997185        2.50436e-05            340.444                  0         0.00991588        0.000894452             7839.9        1.10643e-06        6.18085e-13        7.59671e-11           0.219202        3.72332e-09         0.00192075        2.24611e-06        2.52413e-12        1.51402e-13        1.64247e-05          0.0437679        3.15821e-05         0.00229295        2.07547e-12        5.26715e-06        7.58173e-16            0.73276
15        0.000389271        2.51143e-05        2.29577e-05             101325           0.914128        2.29577e-05            371.366                  0          0.0194141         0.00119942            21735.2        2.13228e-06        1.17822e-12        2.41267e-11           0.216553        3.27282e-09         0.00341974        3.71905e-06        3.82343e-12        2.53257e-13        2.97344e-05          0.0430843        6.08281e-05         0.00407612        3.78642e-12        1.01026e-05        2.47135e-15            0.73276
16        0.000414385        2.51143e-05        2.05599e-05             101325           0.818656        2.05599e-05            414.656                  0          0.0346287         0.00167751            55610.1        3.77173e-06        3.62942e-12        8.48598e-12           0.212789        4.52288e-09         0.00555159        5.69378e-06        8.41501e-12        6.21451e-13        4.91037e-05          0.0421108        0.000107816         0.00660487        1.05145e-11        1.77267e-05        1.21937e-14            0.73276
17          0.0004395        2.51143e-05        1.81596e-05             101325           0.723078        1.81596e-05            469.437                  0          0.0563011         0.00365491             128205        6.17258e-06        1.42335e-11          1.066e-11           0.207938        9.36298e-09         0.00829989        8.20329e-06        2.44651e-11        1.96059e-12        7.47026e-05          0.0408538        0.000177215         0.00985296        3.77046e-11        2.86774e-05        6.60983e-14            0.73276
18        0.000464614        2.51143e-05        1.59743e-05             101325           0.636063        1.59743e-05            533.612                  0          0.0842141          0.0113579             270755        9.46106e-06        5.30241e-11        3.74778e-11           0.202139        2.06538e-08          0.0115886        1.13134e-05        7.03289e-11         5.9477e-12        0.000106174          0.0393468        0.000273332          0.0137222        1.30799e-10        4.33051e-05        3.16978e-13            0.73276
19        0.000489728        2.51143e-05        1.40944e-05             101325           0.561213        1.40944e-05            604.715                  0           0.117492          0.0354638             543790        1.37532e-05        1.76034e-10        1.49876e-10           0.195567        4.22684e-08           0.015319        1.51306e-05        1.82338e-10        1.58942e-11        0.000142947          0.0376336         0.00040041          0.0180868        4.04377e-10        6.18163e-05        1.28871e-12           0.732759
20        0.000514843        2.51143e-05        1.25242e-05             101325            0.49869        1.25242e-05            680.437                  0           0.155017          0.0973525        1.06121e+06         1.9167e-05        5.27266e-10        5.80383e-10           0.188398        7.87965e-08          0.0193925        1.97952e-05         4.2831e-10        3.76678e-11        0.000184457          0.0357582        0.000562979          0.0228212        1.11678e-09        8.43117e-05        4.52543e-12           0.732759
21        0.000539957        2.51143e-05        1.12284e-05             101325           0.447091        1.12284e-05            758.841                  0           0.195693           0.231143        2.00976e+06        2.58313e-05        1.44882e-09        2.08994e-09            0.18079        1.36717e-07          0.0237212        2.54686e-05        9.42902e-10         8.2077e-11         0.00023025          0.0337595        0.000766102          0.0278115        2.81574e-09        0.000110803        1.42346e-11           0.732759
