# Time 0.000985
# eta = 0.002
# length = -0.000152168
#--- 	  	 LEM Line data  --- 
#(1) wafer              (2) x             (3) dx              (4) m              (5) p            (6) rho              (7) m              (8) T              (9) Z             (10) C          (11) dCdt       (12) heatRel                  (13) Y_H2                  (14) Y_H                  (15) Y_O                  (16) Y_O2                  (17) Y_OH                  (18) Y_H2O                  (19) Y_HO2                  (20) Y_CH2                  (21) Y_CH2(S)                  (22) Y_CH3                  (23) Y_CH4                  (24) Y_CO                  (25) Y_CO2                  (26) Y_HCO                  (27) Y_CH2O                  (28) Y_CH2OH                  (29) Y_N2
0        1.25592e-05        2.51184e-05        2.82649e-05             101325            1.12527        2.82649e-05            301.701                  0                  0                  0                  0        2.29671e-07        3.34158e-17        4.92329e-14           0.222452        5.25502e-12        8.45583e-05        6.14985e-08        2.24681e-16        1.17052e-17        8.20983e-07          0.0446027        9.12269e-06        9.03827e-05        1.75916e-16        6.24516e-07        2.61843e-20            0.73276
1        3.76776e-05        2.51184e-05        2.82076e-05             101325            1.12298        2.82076e-05            302.313                  0        0.000831804        4.81177e-07            31.3848        3.22907e-07        5.91424e-17        5.48778e-14           0.222399        7.18547e-12        0.000115219        8.32056e-08        4.00896e-16        2.09341e-17        1.11955e-06          0.0445884        1.29175e-05        0.000122486        3.16597e-16        8.67309e-07         4.7339e-20            0.73276
2        6.27961e-05        2.51184e-05        2.81328e-05             101325               1.12        2.81328e-05            303.116                  0         0.00108732        6.62913e-07            52.9614        4.59968e-07        1.07991e-16        5.12349e-14           0.222329        9.78603e-12        0.000155792        1.11184e-07        7.39156e-16        3.87249e-17        1.51558e-06          0.0445693        1.86122e-05        0.000164039         5.9177e-16        1.21075e-06        8.89895e-20            0.73276
3        8.79145e-05        2.51184e-05        2.80269e-05             101325            1.11579        2.80269e-05            304.259                  0         0.00146471        9.64778e-07            94.9789        6.71987e-07        2.05061e-16        4.18726e-14            0.22223        1.35968e-11        0.000213926        1.50561e-07        1.40752e-15        7.40872e-17        2.08354e-06           0.044542        2.75515e-05        0.000222505        1.14691e-15        1.72748e-06         1.7415e-19            0.73276
4        0.000113033        2.51184e-05        2.78802e-05             101325            1.10995        2.78802e-05            305.856                  0         0.00199983        1.46227e-06            175.236        9.91285e-07        4.00475e-16        2.99616e-14            0.22209        1.91387e-11         0.00029569        2.05208e-07        2.72481e-15        1.44351e-16        2.88218e-06          0.0445035        4.11936e-05        0.000303259        2.26808e-15        2.48653e-06        3.50102e-19            0.73276
5        0.000138151        2.51184e-05         2.7681e-05             101325            1.10202         2.7681e-05            308.053                  0         0.00274535        2.29807e-06            327.367        1.46259e-06        7.98138e-16        1.87258e-14           0.221897        2.72138e-11        0.000408923        2.80246e-07        5.31334e-15        2.83938e-16         3.9868e-06          0.0444501        6.15852e-05        0.000413023        4.53569e-15        3.58088e-06        7.18596e-19            0.73276
6         0.00016327        2.51184e-05        2.74153e-05             101325            1.09144        2.74153e-05            311.032                  0         0.00376793        3.73745e-06            612.301        2.14632e-06        1.61689e-15        1.02048e-14           0.221635        3.91074e-11        0.000563522         3.8244e-07        1.03942e-14        5.61892e-16        5.49155e-06          0.0443769        9.15312e-05        0.000559975        9.14156e-15        5.13288e-06        1.50532e-18            0.73276
7        0.000188388        2.51184e-05         2.7068e-05             101325            1.07761         2.7068e-05            315.014                  0         0.00515036        6.28696e-06            1137.99        3.12225e-06        3.33004e-15        4.86111e-15           0.221283        5.69677e-11        0.000771758        5.20829e-07         2.0396e-14         1.1192e-15        7.51198e-06          0.0442782        0.000134786        0.000753868        1.85836e-14        7.30003e-06        3.23126e-18            0.73276
8        0.000213507        2.51184e-05         2.6623e-05             101325             1.0599         2.6623e-05            320.266                  0         0.00699354        1.09421e-05            2091.77        4.49299e-06        6.99694e-15        2.09217e-15           0.220817        8.45315e-11         0.00104854        7.07649e-07        4.02452e-14        2.25095e-15        1.01869e-05          0.0441466        0.000196246         0.00100609        3.82411e-14        1.02802e-05        7.15731e-18            0.73276
9        0.000238625        2.51184e-05        2.60656e-05             101325            1.03771        2.60656e-05            327.096                  0         0.00941798        1.97222e-05            3792.51         6.3867e-06        1.50808e-14        9.84713e-16           0.220208        1.28483e-10         0.00141155        9.59705e-07        8.01555e-14        4.59088e-15        1.36791e-05          0.0439736        0.000282111         0.00132959        8.00461e-14         1.4315e-05        1.64934e-17            0.73276
