#--- 	  	 LEM Line data  --- 
#(1) Z              (2) C              (3) T              (4) h           (5) dCdT           (6) dedt            (7) rho          (8) FOUND     (9) Found_dcdt                  (10) Y_O2                  (11) Y_H2O                  (12) Y_CH4                  (13) Y_CO                  (14) Y_CO2                  (15) Y_N2
0           0.353535             300.01            1878.77                  0                  0            1.17193                  1                  0           0.233007        4.63778e-07        3.77598e-07        1.39915e-51        5.66485e-07           0.766992
0           0.363636            300.011            1879.07                  0                  0            1.17193                  1                  0           0.233007        4.77028e-07        3.71698e-07        1.43912e-51         5.8267e-07           0.766992
0           0.373737            300.011            1879.36                  0                  0            1.17193                  1                  0           0.233006        4.90279e-07        3.65798e-07         1.4791e-51        5.98855e-07           0.766992
0           0.383838            300.011            1879.66                  0                  0            1.17193                  1                  0           0.233006         5.0353e-07        3.59898e-07        1.51907e-51        6.15041e-07           0.766992
0           0.393939            300.011            1879.96                  0                  0            1.17193                  1                  0           0.233006        5.16781e-07        3.53998e-07        1.55905e-51        6.31226e-07           0.766992
0            0.40404            300.012            1880.25                  0                  0            1.17193                  1                  0           0.233006        5.30032e-07        3.48098e-07        1.59902e-51        6.47411e-07           0.766992
0           0.414141            300.012            1880.55                  0                  0            1.17193                  1                  0           0.233006        5.43282e-07        3.42198e-07          1.639e-51        6.63596e-07           0.766992
0           0.424242            300.012            1880.84                  0                  0            1.17193                  1                  0           0.233006        5.56533e-07        3.36298e-07        1.67897e-51        6.79782e-07           0.766992
0           0.434343            300.013            1881.14                  0                  0            1.17192                  1                  0           0.233006        5.69784e-07        3.30398e-07        1.71895e-51        6.95967e-07           0.766992
0           0.444444            300.013            1881.43                  0                  0            1.17192                  1                  0           0.233006        5.83035e-07        3.24498e-07        1.75893e-51        7.12152e-07           0.766992
0           0.454545            300.013            1881.73                  0                  0            1.17192                  1                  0           0.233006        5.96286e-07        3.18598e-07         1.7989e-51        7.28338e-07           0.766992
0           0.464646            300.013            1882.02                  0                  0            1.17192                  1                  0           0.233006        6.09536e-07        3.12698e-07        1.83888e-51        7.44523e-07           0.766992
0           0.474747            300.014            1882.32                  0                  0            1.17192                  1                  0           0.233006        6.22787e-07        3.06798e-07        1.87885e-51        7.60708e-07           0.766992
0           0.484848            300.014            1882.61                  0                  0            1.17192                  1                  0           0.233006        6.36038e-07        3.00899e-07        1.91883e-51        7.76893e-07           0.766992
0           0.494949            300.014            1882.91                  0                  0            1.17192                  1                  0           0.233006        6.49289e-07        2.94999e-07         1.9588e-51        7.93079e-07           0.766992
0           0.505051            300.015             1883.2                  0                  0            1.17192                  1                  0           0.233006         6.6254e-07        2.89099e-07        1.99878e-51        8.09264e-07           0.766992
0           0.515152            300.015             1883.5                  0                  0            1.17192                  1                  0           0.233006         6.7579e-07        2.83199e-07        2.03875e-51        8.25449e-07           0.766992
0           0.525253            300.015            1883.79                  0                  0            1.17191                  1                  0           0.233006        6.89041e-07        2.77299e-07        2.07873e-51        8.41634e-07           0.766992
0           0.535354            300.015            1884.09                  0                  0            1.17191                  1                  0           0.233006        7.02292e-07        2.71399e-07        2.11871e-51         8.5782e-07           0.766992
0           0.545455            300.016            1884.38                  0                  0            1.17191                  1                  0           0.233006        7.15543e-07        2.65499e-07        2.15868e-51        8.74005e-07           0.766992
0           0.555556            300.016            1884.68                  0                  0            1.17191                  1                  0           0.233006        7.28793e-07        2.59599e-07        2.19866e-51         8.9019e-07           0.766992
0           0.565657            300.016            1884.97                  0                  0            1.17191                  1                  0           0.233006        7.42044e-07        2.53699e-07        2.23863e-51        9.06376e-07           0.766992
0           0.575758            300.017            1885.27                  0                  0            1.17191                  1                  0           0.233006        7.55295e-07        2.47799e-07        2.27861e-51        9.22561e-07           0.766992
0           0.585859            300.017            1885.56                  0                  0            1.17191                  1                  0           0.233006        7.68546e-07        2.41899e-07        2.31858e-51        9.38746e-07           0.766992
0            0.59596            300.017            1885.86                  0                  0            1.17191                  1                  0           0.233006        7.81797e-07        2.35999e-07        2.35856e-51        9.54931e-07           0.766992
0           0.606061            300.018            1886.15                  0                  0            1.17191                  1                  0           0.233006        7.95047e-07        2.30099e-07        2.39853e-51        9.71117e-07           0.766992
0           0.616162            300.018            1886.45                  0                  0             1.1719                  1                  0           0.233006        8.08298e-07        2.24199e-07        2.43851e-51        9.87302e-07           0.766992
0           0.626263            300.018            1886.74                  0                  0             1.1719                  1                  0           0.233006        8.21549e-07        2.18299e-07        2.47849e-51        1.00349e-06           0.766992
0           0.636364            300.018            1887.04                  0                  0             1.1719                  1                  0           0.233006          8.348e-07        2.12399e-07        2.51846e-51        1.01967e-06           0.766992
0           0.646465            300.019            1887.33                  0                  0             1.1719                  1                  0           0.233006        8.48051e-07        2.06499e-07        2.55844e-51        1.03586e-06           0.766992
0           0.656566            300.019            1887.63                  0                  0             1.1719                  1                  0           0.233006        8.61301e-07        2.00599e-07        2.59841e-51        1.05204e-06           0.766992
0           0.666667            300.019            1887.92                  0                  0             1.1719                  1                  0           0.233006        8.74552e-07        1.94699e-07        2.63839e-51        1.06823e-06           0.766992
0           0.676768             300.02            1888.22                  0                  0             1.1719                  1                  0           0.233006        8.87803e-07        1.88799e-07        2.67836e-51        1.08441e-06           0.766992
0           0.686869             300.02            1888.51                  0                  0             1.1719                  1                  0           0.233006        9.01054e-07        1.82899e-07        2.71834e-51         1.1006e-06           0.766992
0            0.69697             300.02            1888.81                  0                  0            1.17189                  1                  0           0.233006        9.14305e-07        1.76999e-07        2.75831e-51        1.11678e-06           0.766992
0           0.707071             300.02             1889.1                  0                  0            1.17189                  1                  0           0.233006        9.27555e-07        1.71099e-07        2.79829e-51        1.13297e-06           0.766992
0           0.717172            300.021             1889.4                  0                  0            1.17189                  1                  0           0.233006        9.40806e-07        1.65199e-07        2.83827e-51        1.14915e-06           0.766992
0           0.727273            300.021             1889.7                  0                  0            1.17189                  1                  0           0.233006        9.54057e-07        1.59299e-07        2.87824e-51        1.16534e-06           0.766992
0           0.737374            300.021            1889.99                  0                  0            1.17189                  1                  0           0.233006        9.67308e-07        1.53399e-07        2.91822e-51        1.18153e-06           0.766992
0           0.747475            300.022            1890.29                  0                  0            1.17189                  1                  0           0.233006        9.80558e-07        1.47499e-07        2.95819e-51        1.19771e-06           0.766992
0           0.757576            300.022            1890.58                  0                  0            1.17189                  1                  0           0.233006        9.93809e-07        1.41599e-07        2.99817e-51         1.2139e-06           0.766992
0           0.767677            300.022            1890.88                  0                  0            1.17189                  1                  0           0.233006        1.00706e-06        1.35699e-07        3.03814e-51        1.23008e-06           0.766992
0           0.777778            300.022            1891.17                  0                  0            1.17189                  1                  0           0.233006        1.02031e-06        1.29799e-07        3.07812e-51        1.24627e-06           0.766992
0           0.787879            300.023            1891.47                  0                  0            1.17188                  1                  0           0.233006        1.03356e-06        1.23899e-07         3.1181e-51        1.26245e-06           0.766992
0            0.79798            300.023            1891.76                  0                  0            1.17188                  1                  0           0.233006        1.04681e-06        1.17999e-07        3.15807e-51        1.27864e-06           0.766992
0           0.808081            300.023            1892.06                  0                  0            1.17188                  1                  0           0.233005        1.06006e-06        1.12099e-07        3.19805e-51        1.29482e-06           0.766992
0           0.818182            300.024            1892.35                  0                  0            1.17188                  1                  0           0.233005        1.07331e-06        1.06199e-07        3.23802e-51        1.31101e-06           0.766992
0           0.828283            300.024            1892.65                  0                  0            1.17188                  1                  0           0.233005        1.08656e-06          1.003e-07          3.278e-51        1.32719e-06           0.766992
0           0.838384            300.024            1892.94                  0                  0            1.17188                  1                  0           0.233005        1.09982e-06        9.43995e-08        3.31797e-51        1.34338e-06           0.766992
0           0.848485            300.025            1893.24                  0                  0            1.17188                  1                  0           0.233005        1.11307e-06        8.84996e-08        3.35795e-51        1.35956e-06           0.766992
0           0.858586            300.025            1893.53                  0                  0            1.17188                  1                  0           0.233005        1.12632e-06        8.25996e-08        3.39792e-51        1.37575e-06           0.766992
0           0.868687            300.025            1893.83                  0                  0            1.17188                  1                  0           0.233005        1.13957e-06        7.66996e-08         3.4379e-51        1.39193e-06           0.766992
0           0.878788            300.025            1894.12                  0                  0            1.17187                  1                  0           0.233005        1.15282e-06        7.07996e-08        3.47788e-51        1.40812e-06           0.766992
0           0.888889            300.026            1894.42                  0                  0            1.17187                  1                  0           0.233005        1.16607e-06        6.48997e-08        3.51785e-51         1.4243e-06           0.766992
0            0.89899            300.026            1894.71                  0                  0            1.17187                  1                  0           0.233005        1.17932e-06        5.89997e-08        3.55783e-51        1.44049e-06           0.766992
0           0.909091            300.026            1895.01                  0                  0            1.17187                  1                  0           0.233005        1.19257e-06        5.30997e-08         3.5978e-51        1.45668e-06           0.766992
0           0.919192            300.027             1895.3                  0                  0            1.17187                  1                  0           0.233005        1.20582e-06        4.71998e-08        3.63778e-51        1.47286e-06           0.766992
0           0.929293            300.027             1895.6                  0                  0            1.17187                  1                  0           0.233005        1.21907e-06        4.12998e-08        3.67775e-51        1.48905e-06           0.766992
0           0.939394            300.027            1895.89                  0                  0            1.17187                  1                  0           0.233005        1.23232e-06        3.53998e-08        3.71773e-51        1.50523e-06           0.766992
0           0.949495            300.027            1896.19                  0                  0            1.17187                  1                  0           0.233005        1.24557e-06        2.94999e-08         3.7577e-51        1.52142e-06           0.766992
